teams,playerprofile,birthdate,position,retiredOrNot,retirementDate,lastTransferFee,lastTransferDate,AgeNow,yearSinceRetirement,retirementAge
SV Zulte Waregem,Sven Van Ryckeghem,18/03/1985,Goalkeeper,Unknown,01/07/2015,free transfer,01/07/2014,37,7,30
SV Zulte Waregem,Björn Sengier,12/07/1979,Goalkeeper,Retired,01/07/2016,free transfer,10/08/2014,43,6,37
SV Zulte Waregem,Pieter Merlier,29/03/1979,Goalkeeper,SK Berlare,23/07/2018,?,01/07/2014,43,4,39
RAA La Louviere (- 2009),Tiago Bezerra,17/02/1987,Centre-Forward,Al-Orobah FC,07/07/2022,free transfer,08/09/2021,35,0,35
RAA La Louviere (- 2009),Stavros Glouftsis,20/10/1981,Centre-Forward,Rapid Leest,31/08/2021,-,31/08/2019,41,1,40
RAA La Louviere (- 2009),Benoît Ladrière,27/04/1987,Attacking Midfield,RCS Braine,28/08/2020,free transfer,01/07/2019,35,2,33
RAA La Louviere (- 2009),Julien Pinelli,27/01/1987,Left Midfield,RC Villers,01/07/2019,free transfer,01/07/2016,35,3,32
RAA La Louviere (- 2009),Jaroslaw Mazurkiewicz,13/11/1979,Right Midfield,Retired,01/01/2013,free transfer,01/07/2011,43,9,34
RAA La Louviere (- 2009),Fadhil Mohamed Brahami,14/04/1979,Right Midfield,Retired,01/07/2013,?,01/01/2013,43,9,34
RAA La Louviere (- 2009),Bob Cousin,04/11/1981,Central Midfield,Retired,01/07/2015,?,01/07/2013,41,7,34
RAA La Louviere (- 2009),Trésor Luntala,31/05/1982,Defensive Midfield,Retired,01/01/2022,-,01/07/2012,40,0,40
RAA La Louviere (- 2009),Geraldo Sprio,16/01/1987,midfield,Retired,01/07/2015,?,01/07/2012,35,7,28
RAA La Louviere (- 2009),Alexandre Potier,14/05/1986,midfield,AS Fontainoise,01/07/2017,?,01/07/2013,36,5,31
RAA La Louviere (- 2009),Martin Ekani,21/04/1984,Right-Back,Retired,01/07/2022,free transfer,01/07/2020,38,0,38
RAA La Louviere (- 2009),Yannick Vervalle,03/06/1981,Left-Back,KV Zuun,31/08/2018,-,01/07/2017,41,4,37
RAA La Louviere (- 2009),Quantin Durieux,28/01/1985,Centre-Back,Without Club,01/07/2019,?,01/07/2013,37,3,34
RAA La Louviere (- 2009),Alexandre Teklak,16/08/1975,Centre-Back,Retired,01/07/2012,free transfer,01/01/2010,47,10,37
RAA La Louviere (- 2009),Benoit Daniel,19/08/1986,Goalkeeper,Retired,01/07/2019,free transfer,01/07/2015,36,3,33
RAA La Louviere (- 2009),Asmir Begovic,20/06/1987,Goalkeeper,Everton,20/07/2021,End of loan,31/08/2020,35,1,34
RAA La Louviere (- 2009),Michaël Cordier,27/03/1984,Goalkeeper,FC Havré,01/07/2020,free transfer,01/07/2018,38,2,36
Cercle Brugge,Ibad Muhamadu,22/02/1982,Centre-Forward,Retired,01/07/2013,free transfer,01/07/2011,40,9,31
Cercle Brugge,Paulus Roiha,03/08/1980,Centre-Forward,Retired,01/01/2012,-,01/07/2011,42,10,32
Cercle Brugge,Dieter Dekelver,17/08/1979,Centre-Forward,Retired,05/08/2013,free transfer,01/07/2012,43,9,34
Cercle Brugge,Darko Pivaljevic,18/02/1975,Centre-Forward,Retired,01/07/2014,-,06/09/2013,47,8,39
Cercle Brugge,Vit Valenta,04/01/1983,Attacking Midfield,Retired,01/07/2018,?,21/02/2018,39,4,35
Cercle Brugge,Frederik Boi,25/10/1981,Right Midfield,Retired,01/07/2018,free transfer,01/07/2017,41,4,37
Cercle Brugge,Matthias Feys,22/05/1985,Central Midfield,SV Diksmuide,01/07/2022,free transfer,01/07/2017,37,0,37
Cercle Brugge,Harold Meyssen,24/07/1971,Central Midfield,Retired,01/01/2010,free transfer,01/07/2008,51,12,39
Cercle Brugge,Christophe Grondin,02/09/1983,Defensive Midfield,Tournefeuille,19/08/2016,?,07/07/2015,39,6,33
Cercle Brugge,Milenko Milosevic,13/11/1976,Defensive Midfield,Retired,01/07/2018,free transfer,28/03/2013,46,4,42
Cercle Brugge,Ewout Denys,04/02/1987,midfield,Rapid Leest,01/07/2020,-,01/07/2019,35,2,33
Cercle Brugge,Yannick Euvrard,17/01/1986,Right-Back,KRC Waregem,01/07/2019,?,01/07/2018,36,3,33
Cercle Brugge,Tom Van Mol,12/10/1972,Left-Back,Retired,01/07/2010,free transfer,01/07/2008,50,12,38
Cercle Brugge,Bram Vandenbussche,01/02/1981,Centre-Back,SK Eernegem,01/07/2020,free transfer,01/07/2014,41,2,39
Cercle Brugge,Anthony Portier,01/06/1982,Centre-Back,Retired,17/12/2017,free transfer,01/08/2016,40,4,36
Cercle Brugge,Jimmy De Wulf,09/06/1980,Centre-Back,Retired,01/07/2013,?,01/07/2012,42,9,33
Cercle Brugge,Denis Viane,02/10/1977,Centre-Back,Retired,15/03/2012,free transfer,31/08/2011,45,10,35
Cercle Brugge,Francky Vandendriessche,07/04/1971,Goalkeeper,Retired,01/07/2007,free transfer,01/07/2005,51,15,36
Sint-Truidense VV,Jurgen Rutten,19/02/1986,Centre-Forward,Retired,01/07/2014,free transfer,01/07/2012,36,8,28
Sint-Truidense VV,Brendon Santalab,09/09/1982,Centre-Forward,Without Club,01/01/2020,free transfer,24/05/2019,40,2,38
Sint-Truidense VV,Désiré M'Bonabucya,25/02/1977,Centre-Forward,Retired,01/04/2008,?,07/08/2007,45,14,31
Sint-Truidense VV,Tamás Hajnal,15/03/1981,Attacking Midfield,Retired,01/07/2018,-,12/12/2014,41,4,37
Sint-Truidense VV,Kris Buvens,30/12/1979,Right Midfield,Retired,01/07/2013,free transfer,01/07/2012,42,9,33
Sint-Truidense VV,Dimitri De Condé,07/01/1975,Central Midfield,Retired,01/07/2011,free transfer,01/01/2011,47,11,36
Sint-Truidense VV,Jari Niemi,02/02/1977,Central Midfield,Retired,01/01/2013,?,01/08/2011,45,9,36
Sint-Truidense VV,Jonas Bogaerts,06/03/1987,Defensive Midfield,KVK Tienen,01/07/2018,free transfer,01/07/2016,35,4,31
Sint-Truidense VV,Peter Delorge,19/04/1980,Defensive Midfield,Retired,01/07/2015,free transfer,01/07/2013,42,7,35
Sint-Truidense VV,Sander Debroux,23/09/1982,midfield,Retired,01/07/2014,free transfer,02/02/2011,40,8,32
Sint-Truidense VV,Kristof Lardenoit,08/07/1983,Centre-Back,Retired,01/07/2014,free transfer,01/07/2013,39,8,31
Sint-Truidense VV,Jeroen Simaeys,12/05/1985,Centre-Back,Retired,01/07/2017,free transfer,03/07/2016,37,5,32
Sint-Truidense VV,Nicky Hayen,16/08/1980,Centre-Back,Retired,01/07/2014,?,01/07/2013,42,8,34
Sint-Truidense VV,Simon Mignolet,06/03/1988,Goalkeeper,Club Brugge,05/08/2019,€10.60m,01/07/2013,34,3,31
Sint-Truidense VV,Dusan Belic,29/03/1971,Goalkeeper,Retired,01/01/2007,free transfer,01/01/2006,51,15,36
Sint-Truidense VV,Bart Deelkens,25/04/1978,Goalkeeper,Retired,01/07/2018,?,01/07/2016,44,4,40
FC Molenbeek Brüssel,Moussa Sanogo,16/07/1983,Centre-Forward,Retired,01/07/2018,-,09/07/2017,39,4,35
FC Molenbeek Brüssel,Igor de Camargo,12/05/1983,Centre-Forward,Without Club,01/07/2022,?,18/01/2022,39,0,39
FC Molenbeek Brüssel,Kristof Snelders,05/09/1982,Second Striker,Retired,01/07/2016,free transfer,01/07/2013,40,6,34
FC Molenbeek Brüssel,Musaba Selemani,25/05/1985,Left Winger,Retired,01/07/2016,free transfer,01/07/2011,37,6,31
FC Molenbeek Brüssel,Gertjan Martens,04/03/1987,Attacking Midfield,KAV Dendermonde,01/07/2019,free transfer,01/07/2018,35,3,32
FC Molenbeek Brüssel,Sofiane Zaaboub,23/01/1983,Left Midfield,Retired,01/07/2013,-,01/07/2012,39,9,30
FC Molenbeek Brüssel,Davy Theunis,28/01/1980,Right Midfield,Retired,17/09/2010,free transfer,01/07/2010,42,12,30
FC Molenbeek Brüssel,Kristoffer Andersen,09/12/1985,Central Midfield,Retired,01/07/2019,-,04/09/2013,36,3,33
FC Molenbeek Brüssel,Richard Culek,01/04/1974,Defensive Midfield,Retired,01/07/2014,free transfer,01/07/2010,48,8,40
FC Molenbeek Brüssel,Ibrahim Kargbo,10/04/1982,Defensive Midfield,Retired,24/04/2019,free transfer,01/07/2016,40,3,37
FC Molenbeek Brüssel,Patricio Bengui,10/11/1986,Right-Back,Retired,01/07/2019,free transfer,01/07/2017,36,3,33
FC Molenbeek Brüssel,Christ Bruno,08/04/1977,Left-Back,Retired,01/07/2014,free transfer,31/01/2012,45,8,37
FC Molenbeek Brüssel,Cédric Dellevoet,10/12/1987,Centre-Back,SK Londerzeel,01/07/2011,free transfer,01/07/2009,34,11,23
FC Molenbeek Brüssel,Michael Jonckheere,01/09/1987,Centre-Back,RFC Genappe,01/07/2022,free transfer,01/07/2020,35,0,35
FC Molenbeek Brüssel,Zoltán Pető,19/09/1974,Centre-Back,Retired,01/07/2014,free transfer,01/08/2011,48,8,40
FC Molenbeek Brüssel,Steve Colpaert,13/09/1986,Centre-Back,Retired,01/07/2021,free transfer,01/07/2020,36,1,35
FC Molenbeek Brüssel,Istvan Dudas,02/08/1973,Goalkeeper,Retired,01/07/2008,free transfer,01/07/2006,49,14,35
Excelsior Mouscron (- 2009),Tailson,29/11/1975,Centre-Forward,Retired,01/07/2010,?,01/01/2010,46,12,34
Excelsior Mouscron (- 2009),Marcin Zewlakow,22/04/1976,Centre-Forward,Retired,26/02/2013,free transfer,01/07/2012,46,9,37
Excelsior Mouscron (- 2009),Adnan Custovic,16/04/1978,Right Winger,Retired,01/07/2014,?,10/07/2012,44,8,36
Excelsior Mouscron (- 2009),Paco Sanchez,16/05/1986,Central Midfield,Retired,01/07/2014,-,01/01/2014,36,8,28
Excelsior Mouscron (- 2009),Steve Dugardein,28/01/1974,Defensive Midfield,Retired,01/07/2012,-,01/08/2009,48,10,38
Excelsior Mouscron (- 2009),Geoffray Toyes,18/05/1973,Right-Back,Retired,04/11/2009,free transfer,01/07/2008,49,13,36
Excelsior Mouscron (- 2009),David Grondin,08/05/1980,Left-Back,Retired,01/07/2013,-,01/10/2011,42,9,33
Excelsior Mouscron (- 2009),Mustapha Oussalah,19/02/1982,Left-Back,Retired,01/07/2019,-,19/09/2018,40,3,37
Excelsior Mouscron (- 2009),Suad Filekovic,16/09/1978,Left-Back,Retired,01/07/2015,free transfer,23/08/2013,44,7,37
Excelsior Mouscron (- 2009),Benjamin Delacourt,10/03/1985,Centre-Back,Tourcoing FC,01/07/2021,free transfer,31/08/2020,37,1,36
Excelsior Mouscron (- 2009),Olivier Besengez,19/09/1971,Centre-Back,Retired,01/07/2007,-,01/07/1990,51,15,36
Excelsior Mouscron (- 2009),Jean-Philippe Charlet,12/01/1982,Centre-Back,Retired,01/07/2013,free transfer,01/07/2012,40,9,31
Excelsior Mouscron (- 2009),Kevin Hatchi,06/08/1981,Centre-Back,Retired,01/07/2016,free transfer,01/07/2015,41,6,35
Excelsior Mouscron (- 2009),Daan Van Gijseghem,02/03/1988,Centre-Back,Without Club,01/07/2020,free transfer,01/07/2016,34,2,32
Excelsior Mouscron (- 2009),Christophe Martin,21/02/1975,Goalkeeper,Retired,01/07/2016,free transfer,01/07/2008,47,6,41
RSC Charleroi,Joseph Akpala,24/08/1986,Centre-Forward,Retired,01/07/2021,free transfer,06/04/2021,36,1,35
RSC Charleroi,Izzet Akgül,28/01/1982,Centre-Forward,Retired,01/07/2018,free transfer,01/07/2017,40,4,36
RSC Charleroi,Toni Brogno,19/07/1973,Second Striker,Retired,01/07/2009,free transfer,06/08/2008,49,13,36
RSC Charleroi,Sergiy Serebrennikov,01/09/1976,Right Winger,Retired,01/07/2014,free transfer,01/07/2011,46,8,38
RSC Charleroi,Ousmane Bangoura,01/12/1979,attack,Retired,01/07/2006,free transfer,01/01/2006,42,16,26
RSC Charleroi,Orlando,26/02/1981,attack,Retired,01/12/2015,-,01/01/2013,41,6,35
RSC Charleroi,Fabien Camus,28/02/1985,Attacking Midfield,Retired,01/07/2019,?,20/12/2018,37,3,34
RSC Charleroi,Nasredine Kraouche,27/08/1979,Attacking Midfield,Retired,01/07/2008,?,01/07/2007,43,14,29
RSC Charleroi,Grégory Christ,04/10/1982,Left Midfield,CO Trivières,01/07/2022,free transfer,01/07/2020,40,0,40
RSC Charleroi,Thibaut Detal,01/01/1985,Central Midfield,Assesse,01/07/2014,-,25/01/2014,37,8,29
RSC Charleroi,Abdelmajid Oulmers,12/09/1978,midfield,Retired,01/07/2012,-,01/01/2012,44,10,34
RSC Charleroi,Frank Defays,23/02/1974,Right-Back,Retired,01/07/2010,free transfer,01/07/2009,48,12,36
RSC Charleroi,Velimir Varga,26/01/1980,Left-Back,Retired,01/07/2014,-,01/01/2014,42,8,34
RSC Charleroi,Dante,18/10/1983,Centre-Back,OGC Nice,23/08/2016,€4.50m,30/08/2015,39,6,33
RSC Charleroi,Laurent Ciman,05/08/1985,Centre-Back,Retired,01/01/2021,free transfer,01/01/2019,37,1,36
RSC Charleroi,Mahamoudou Kéré,02/01/1982,Centre-Back,Retired,01/07/2015,?,01/07/2014,40,7,33
RSC Charleroi,Damien Lahaye,30/01/1984,Goalkeeper,RUS Binche,01/07/2022,free transfer,01/07/2021,38,0,38
RSC Charleroi,Bertrand Laquait,13/04/1977,Goalkeeper,Retired,02/07/2015,free transfer,27/08/2014,45,7,38
Lierse SK (- 2018),Dragan Mrdja,23/01/1984,Centre-Forward,Retired,02/04/2018,?,10/02/2018,38,4,34
Lierse SK (- 2018),Goran Tomic,18/03/1977,Centre-Forward,Retired,01/07/2007,free transfer,01/01/2006,45,15,30
Lierse SK (- 2018),Krunoslav Lovrek,11/09/1979,Centre-Forward,Tehnicar 1974,29/07/2016,?,09/02/2016,43,6,37
Lierse SK (- 2018),Tony Vairelles,10/04/1973,Centre-Forward,Retired,01/07/2011,free transfer,01/07/2009,49,11,38
Lierse SK (- 2018),Jurgen Raeymaeckers,03/05/1985,Right Winger,Greunsj. Vossem,01/07/2017,?,01/07/2015,37,5,32
Lierse SK (- 2018),Goran Mujanovic,29/09/1983,Right Winger,Trnje Trnovec,14/08/2017,free transfer,08/08/2016,39,5,34
Lierse SK (- 2018),Adolph Tohoua,09/12/1983,Left Winger,UCE Liège,01/07/2019,free transfer,01/07/2018,38,3,35
Lierse SK (- 2018),Daniel Cruz,09/05/1981,Attacking Midfield,Retired,01/07/2013,free transfer,01/07/2012,41,9,32
Lierse SK (- 2018),Karel Snoeckx,29/10/1973,Right Midfield,Retired,01/01/2011,free transfer,01/07/2010,49,11,38
Lierse SK (- 2018),Kristof Imschoot,04/12/1980,Central Midfield,Retired,01/07/2016,-,01/12/2013,41,6,35
Lierse SK (- 2018),Marko Andjic,14/12/1983,Defensive Midfield,FK Backa,28/01/2021,free transfer,01/08/2020,38,1,37
Lierse SK (- 2018),Ognjen Vukojevic,20/12/1983,Defensive Midfield,Retired,01/07/2017,free transfer,01/07/2015,38,5,33
Lierse SK (- 2018),Hasan Kacic,29/07/1976,Left-Back,Retired,01/01/2015,free transfer,19/08/2011,46,7,39
Lierse SK (- 2018),Michael Nnaji,19/02/1983,Centre-Back,Unknown,01/07/2020,free transfer,01/01/2019,39,2,37
Lierse SK (- 2018),Tim Dreesen,30/01/1987,Centre-Back,KSAV St.Dimpna,01/07/2020,free transfer,01/07/2017,35,2,33
Lierse SK (- 2018),Laurent Fassotte,31/12/1977,Centre-Back,Retired,01/07/2014,?,01/07/2013,44,8,36
Lierse SK (- 2018),Jochem Tanghe,09/06/1987,Goalkeeper,Zandhoven SK,20/11/2018,free transfer,01/07/2017,35,4,31
Lierse SK (- 2018),Yves Van Der Straeten,18/01/1971,Goalkeeper,Retired,01/07/2010,free transfer,01/07/2006,51,12,39
Lierse SK (- 2018),Cliff Mardulier,22/09/1982,Goalkeeper,KVC Wilrijk,01/07/2018,free transfer,01/07/2015,40,4,36
KSK Beveren (- 2010),Alain Koudou,21/10/1984,Centre-Forward,Retired,01/07/2016,?,01/07/2014,38,6,32
KSK Beveren (- 2010),Constant Kaiper Kipre,06/10/1983,Centre-Forward,Retired,01/07/2011,-,01/07/2010,39,11,28
KSK Beveren (- 2010),Mahamadou Dissa,18/05/1979,Centre-Forward,Retired,01/07/2016,?,01/07/2015,43,6,37
KSK Beveren (- 2010),Gervinho,27/05/1987,Left Winger,Aris Saloniki,16/07/2022,free transfer,01/07/2021,35,0,35
KSK Beveren (- 2010),Roméo Affessi,19/02/1984,Attacking Midfield,Retired,01/07/2018,free transfer,01/07/2017,38,4,34
KSK Beveren (- 2010),Mohamed Diallo,22/05/1983,Attacking Midfield,Retired,01/07/2016,-,01/07/2013,39,6,33
KSK Beveren (- 2010),Marco Né,17/07/1983,Attacking Midfield,Retired,01/07/2013,free transfer,01/01/2012,39,9,30
KSK Beveren (- 2010),Enzo Neve,13/08/1987,Central Midfield,KFC HO Kalken,01/07/2021,free transfer,01/07/2017,35,1,34
Sunderland AFC,Daryl Murphy,15/03/1983,Centre-Forward,Retired,01/01/2022,free transfer,01/08/2020,39,0,39
Sunderland AFC,Kevin Kyle,07/06/1981,Centre-Forward,Retired,01/07/2014,-,27/09/2013,41,8,33
Sunderland AFC,Anthony Le Tallec,03/10/1984,Centre-Forward,Retired,01/07/2021,free transfer,02/09/2019,38,1,37
Sunderland AFC,Jon Stead,07/04/1983,Centre-Forward,Retired,08/05/2021,free transfer,01/07/2019,39,1,38
Sunderland AFC,Liam Lawrence,14/12/1981,Attacking Midfield,Retired,31/12/2017,-,04/08/2017,40,4,36
Sunderland AFC,Andy Welsh,24/01/1983,Left Midfield,Retired,01/07/2019,free transfer,01/07/2018,39,3,36
Sunderland AFC,Martin Woods,01/01/1986,Central Midfield,Brackley,07/10/2022,-,01/07/2022,36,0,36
Sunderland AFC,Grant Leadbitter,07/01/1986,Central Midfield,Retired,01/07/2021,free transfer,29/01/2019,36,1,35
Sunderland AFC,Carl Robinson,13/10/1976,Central Midfield,Retired,01/01/2012,free transfer,01/03/2010,46,10,36
Sunderland AFC,Tommy Miller,08/01/1979,Central Midfield,Retired,17/11/2015,-,17/10/2015,43,7,36
Sunderland AFC,Dean Whitehead,12/01/1982,Central Midfield,Retired,01/07/2018,free transfer,01/07/2015,40,4,36
Sunderland AFC,Rory Delap,06/07/1976,Central Midfield,Retired,16/12/2013,free transfer,18/07/2013,46,8,38
Sunderland AFC,Justin Hoyte,20/11/1984,Right-Back,Miami Beach CF,01/01/2020,-,29/03/2017,38,2,36
Sunderland AFC,Stephen Wright,08/02/1980,Right-Back,Retired,01/07/2017,free transfer,01/07/2016,42,5,37
Sunderland AFC,Daniel Smith,05/10/1986,Left-Back,Holland PH SC,19/02/2014,-,31/01/2014,36,8,28
Sunderland AFC,George McCartney,29/04/1981,Left-Back,Retired,01/07/2014,free transfer,01/07/2012,41,8,33
Sunderland AFC,Danny Collins,06/08/1980,Centre-Back,Retired,01/07/2019,-,12/09/2016,42,3,39
Sunderland AFC,Nyron Nosworthy,11/10/1980,Centre-Back,Retired,08/02/2016,free transfer,01/07/2015,42,6,36
Sunderland AFC,Neill Collins,02/09/1983,Centre-Back,Retired,18/05/2018,free transfer,11/03/2016,39,4,35
Sunderland AFC,Alan Stubbs,06/10/1971,Centre-Back,Retired,01/08/2008,free transfer,01/01/2008,51,14,37
Sunderland AFC,Christian Bassila,05/10/1977,Centre-Back,Retired,01/07/2011,free transfer,01/09/2008,45,11,34
Sunderland AFC,Steven Caldwell,12/09/1980,Centre-Back,Retired,14/07/2015,free transfer,01/07/2013,42,7,35
Sunderland AFC,Gary Breen,12/12/1973,Centre-Back,Retired,01/07/2010,-,01/12/2008,48,12,36
Sunderland AFC,Joe Murphy,21/08/1981,Goalkeeper,Tranmere Rovers,22/08/2020,free transfer,04/07/2019,41,2,39
Sunderland AFC,Kelvin Davis,29/09/1976,Goalkeeper,Retired,01/07/2016,€1.13m,01/07/2006,46,6,40
Wigan Athletic,Neil Mellor,04/11/1982,Centre-Forward,Retired,09/05/2012,End of loan,01/05/2011,40,10,30
Wigan Athletic,Jason Roberts,25/01/1978,Centre-Forward,Retired,20/03/2014,€595Th.,01/01/2012,44,8,36
Wigan Athletic,Henri Camara,10/05/1977,Centre-Forward,Retired,16/08/2018,free transfer,01/07/2017,45,4,41
Wigan Athletic,Gary Teale,21/07/1978,Right Winger,Retired,01/07/2015,free transfer,01/07/2011,44,7,37
Wigan Athletic,Alan Mahon,04/04/1978,Left Midfield,Retired,01/08/2011,-,01/07/2011,44,11,33
Wigan Athletic,Andreas Johansson,05/07/1978,Central Midfield,Retired,01/01/2015,free transfer,01/01/2013,44,7,37
Wigan Athletic,Graham Kavanagh,02/12/1973,Central Midfield,Retired,01/07/2012,free transfer,01/10/2008,48,10,38
Wigan Athletic,Damien Francis,27/02/1979,Central Midfield,Retired,01/10/2008,€2.25m,01/07/2006,43,14,29
Wigan Athletic,Josip Skoko,10/12/1975,Central Midfield,Retired,01/07/2011,free transfer,01/07/2010,46,11,35
Wigan Athletic,Jimmy Bullard,23/10/1978,Central Midfield,Retired,01/10/2012,free transfer,28/08/2012,44,10,34
Wigan Athletic,Luke Joyce,09/07/1987,Defensive Midfield,Radcliffe,01/07/2022,free transfer,01/07/2021,35,0,35
Wigan Athletic,David Wright,01/05/1980,Defensive Midfield,Retired,26/11/2014,free transfer,25/01/2013,42,8,34
Wigan Athletic,Paul Scharner,11/03/1980,Defensive Midfield,Retired,01/07/2019,-,25/01/2019,42,3,39
Wigan Athletic,Matt Jackson,19/10/1971,Right-Back,Retired,01/08/2008,End of loan,01/11/2007,51,14,37
Wigan Athletic,Steve McMillan,19/01/1976,Left-Back,Retired,01/03/2007,€800Th.,01/07/2002,46,15,31
Wigan Athletic,Leighton Baines,11/12/1984,Left-Back,Retired,27/07/2020,€7.50m,07/08/2007,37,2,35
Wigan Athletic,Lee McCulloch,14/05/1978,Centre-Back,Retired,01/07/2016,free transfer,13/07/2015,44,6,38
Wigan Athletic,Reto Ziegler,16/01/1986,Centre-Back,FC Lugano,25/02/2021,-,01/01/2021,36,1,35
Wigan Athletic,Arjan de Zeeuw,16/04/1970,Centre-Back,Retired,01/07/2009,free transfer,01/07/2008,52,13,39
Wigan Athletic,Stéphane Henchoz,07/09/1974,Centre-Back,Retired,01/07/2008,-,09/09/2006,48,14,34
Wigan Athletic,Pascal Chimbonda,21/02/1979,Centre-Back,Durham City,18/10/2020,-,31/12/2018,43,2,41
Wigan Athletic,Gary Walsh,21/03/1968,Goalkeeper,Retired,01/07/2006,free transfer,01/07/2003,54,16,38
Wigan Athletic,Mike Pollitt,29/02/1972,Goalkeeper,Retired,01/07/2014,End of loan,24/09/2013,50,8,42
Wigan Athletic,John Filan,08/02/1970,Goalkeeper,Retired,01/07/2007,End of loan,01/11/2006,52,15,37
Bolton Wanderers,Matt Jansen,20/10/1977,Centre-Forward,Retired,01/07/2014,free transfer,01/07/2010,45,8,37
Bolton Wanderers,Henrik Pedersen,10/06/1975,Centre-Forward,Retired,01/01/2013,free transfer,01/07/2008,47,9,38
Bolton Wanderers,Jared Borgetti,14/08/1973,Centre-Forward,Retired,01/01/2011,free transfer,01/07/2010,49,11,38
Bolton Wanderers,Kevin Davies,26/03/1977,Centre-Forward,Retired,01/07/2015,free transfer,10/07/2013,45,7,38
Bolton Wanderers,El-Hadji Diouf,15/01/1981,Centre-Forward,Retired,01/01/2016,-,11/11/2014,41,6,35
Bolton Wanderers,Stelios Giannakopoulos,12/07/1974,Right Winger,Retired,01/01/2010,free transfer,01/01/2009,48,12,36
Bolton Wanderers,Fabrice Fernandes,29/10/1979,Left Winger,Retired,01/07/2008,-,01/01/2008,43,14,29
Bolton Wanderers,El Hadji Diouf,20/08/1988,Attacking Midfield,AFK Tisnov,20/08/2015,loan transfer,08/03/2016,34,7,27
Bolton Wanderers,Jay-Jay Okocha,14/08/1973,Attacking Midfield,Retired,01/03/2012,-,01/02/2012,49,10,39
Bolton Wanderers,Kevin Nolan,24/06/1982,Attacking Midfield,Retired,26/08/2018,-,12/01/2017,40,4,36
Bolton Wanderers,Iván Campo,21/02/1974,Defensive Midfield,Retired,01/07/2010,-,01/01/2010,48,12,36
Bolton Wanderers,Ricardo Gardner,25/09/1978,Left-Back,Retired,01/07/2012,End of loan,01/05/2011,44,10,34
