playerprofile,position,retiredOrNot,lastTransferFee,retirementAge,yearsPlayedOnLastTeam
Loïc Perrin,Centre-Back,Retired,-,35,17
Zoumana Camara,Centre-Back,Retired,€6.00m,36,8
Alan Mermillod,Goalkeeper,Beaucouzé,-,35,5
Jessy Moulin,Goalkeeper,Troyes,End of loan,35,9
Jérémie Janot,Goalkeeper,Retired,free transfer,36,1
Romain Poyet,Centre-Forward,Retired,loan transfer,35,1
Luigi Pieroni,Centre-Forward,Retired,free transfer,33,2
Péguy Luyindula,Centre-Forward,Retired,-,36,2
Kanga Akalé,Left Winger,Retired,-,32,1
Yann Lachuer,Attacking Midfield,Retired,-,37,0
Kevin Lejeune,Left Midfield,Retired,?,35,3
Krisztián Vadócz,Central Midfield,Central,-,37,1
Abou Diaby,Central Midfield,Retired,-,33,2
Thomas Kahlenberg,Central Midfield,Retired,free transfer,34,4
Philippe Violeau,Defensive Midfield,Retired,€400Th.,36,3
Lionel Mathis,Defensive Midfield,Retired,free transfer,36,1
Mathieu Berson,Defensive Midfield,Retired,-,33,2
Benoît Cheyrou,Defensive Midfield,Retired,-,37,3
Johan Radet,Right-Back,Retired,-,31,11
Bacary Sagna,Right-Back,Retired,free transfer,37,2
Pierre Vignaud,Left-Back,Grand-Quevilly,free transfer,36,4
Jean-Sébastien Jaurès,Left-Back,Retired,free transfer,34,3
Aurélien Chedjou,Centre-Back,Retired,-,37,1
Younès Kaboul,Centre-Back,Retired,€4.00m,33,3
Baptiste Martin,Centre-Back,CS Volvic,free transfer,32,3
Oumar Kalabane,Centre-Back,Retired,?,33,1
Rene Bolf,Centre-Back,Retired,free transfer,39,2
Stéphane Grichting,Centre-Back,Retired,free transfer,36,3
Jean-Pascal Mignot,Centre-Back,Retired,free transfer,35,2
Benoît Tardieu,Goalkeeper,Saint-Georges,free transfer,26,3
Baptiste Chabert,Goalkeeper,Retired,free transfer,30,7
Sébastien Hamel,Goalkeeper,Retired,free transfer,34,1
Fabien Cool,Goalkeeper,Retired,End of loan,35,13
Issam Jemâa,Centre-Forward,St-Estève,-,37,4
Pierre-Alain Frau,Centre-Forward,Retired,-,34,0
Aruna Dindane,Second Striker,Retired,-,34,1
Jimmy Kébé,Right Winger,Retired,End of loan,31,1
Seïd Khiter,Right Winger,Without Club,free transfer,36,2
Jussiê,Attacking Midfield,Retired,-,34,0
Olivier Thomert,Left Midfield,Claye-Souilly,-,39,6
Jonathan Lacourt,Central Midfield,FC Marssac,-,32,1
Alou Diarra,Defensive Midfield,Retired,free transfer,36,1
Jonathan Martins Pereira,Right-Back,Retired,free transfer,34,2
Patrick Barul,Right-Back,Retired,-,34,1
Yohan Demont,Right-Back,Retired,free transfer,35,8
Benoît Assou-Ekotto,Left-Back,Retired,free transfer,34,2
Kamil Zayatte,Centre-Back,Retired,free transfer,31,1
Guillermo Rodríguez,Centre-Back,Sud America,-,38,1
Yoann Lachor,Centre-Back,Retired,free transfer,36,4
Nicolas Gillet,Centre-Back,Retired,free transfer,36,2
Jacek Bak,Centre-Back,Retired,-,39,1
Adama Coulibaly,Centre-Back,Retired,free transfer,35,1
Hilton,Centre-Back,Retired,-,45,0
Charles Itandje,Goalkeeper,Retired,-,37,1
Madimoussa Traoré,Centre-Forward,EF Bastia,free transfer,30,1
Laurent Leroy,Centre-Forward,Retired,free transfer,35,2
Lilian Laslandes,Centre-Forward,Retired,?,37,1
Jean-Claude Darcheville,Centre-Forward,Retired,free transfer,39,2
Marouane Chamakh,Centre-Forward,Retired,-,35,2
Floyd Ayité,Left Winger,Valenciennes FC,?,32,2
Denílson,Left Winger,Retired,-,45,0
Juan Pablo Francia,Attacking Midfield,Retired,?,36,5
Vladimir Smicer,Attacking Midfield,Retired,free transfer,36,2
Alejandro Alonso,Right Midfield,Retired,€200Th.,31,2
Pierre Ducasse,Defensive Midfield,Lège Cap-Ferret,free transfer,33,3
Fernando,Defensive Midfield,Retired,free transfer,34,1
Rio Mavuba,Defensive Midfield,Retired,free transfer,35,1
Ted Lavie,Right-Back,FC Libourne,free transfer,34,2
David Jemmali,Right-Back,Retired,free transfer,36,3
Julien Faubert,Right-Back,Retired,-,37,1
Florian Marange,Left-Back,Retired,-,32,1
Franck Jurietti,Left-Back,Retired,free transfer,35,7
Kodjo Afanou,Centre-Back,Retired,-,31,1
Henrique,Centre-Back,Retired,-,34,1
Beto,Centre-Back,Retired,-,35,0
Marc Planus,Centre-Back,Retired,-,33,13
Ulrich Ramé,Goalkeeper,Retired,free transfer,41,2
Nicolas Fauvergue,Centre-Forward,Retired,free transfer,32,1
Matt Moussilou,Centre-Forward,Retired,free transfer,39,4
Kevin Mirallas,Right Winger,AEL Limassol,-,35,0
Samuel Robail,Attacking Midfield,IC de Croix,-,28,4
Milenko Acimovic,Left Midfield,Retired,free transfer,33,3
Yohan Cabaye,Central Midfield,Retired,-,35,1
Stéphane Dumont,Defensive Midfield,Retired,free transfer,31,2
Jean II Makoun,Defensive Midfield,Retired,-,37,2
Mathieu Bodmer,Defensive Midfield,Retired,free transfer,38,3
Stephan Lichtsteiner,Right-Back,Retired,free transfer,36,1
Grégory Tafforeau,Left-Back,Retired,free transfer,36,3
Dante,Centre-Back,OGC Nice,€4.50m,33,1
Nicolas Plestan,Centre-Back,Retired,free transfer,30,1
Mathieu Debuchy,Centre-Back,Valenciennes FC,free transfer,36,3
Stathis Tavlaridis,Centre-Back,Retired,free transfer,37,0
Rafael,Centre-Back,Retired,End of loan,32,1
Laurent Pichon,Goalkeeper,Retired,-,29,2
Grégory Malicki,Goalkeeper,Retired,free transfer,41,4
Tony Sylva,Goalkeeper,Retired,€600Th.,35,2
Moussa Sow,Centre-Forward,Without Club,-,35,1
Jimmy Briand,Centre-Forward,Retired,-,37,0
Youssouf Hadji,Centre-Forward,Retired,-,38,4
Alex Frei,Centre-Forward,Retired,€4.25m,34,4
Stéphane N'Guéma,Right Winger,Retired,?,33,2
Cédric Barbosa,Left Winger,Retired,free transfer,43,1
Olivier Monterrubio,Left Winger,Retired,free transfer,35,2
Étienne Didot,Central Midfield,Retired,?,36,3
Kim Källström,Central Midfield,Retired,free transfer,36,1
Pape Diop,Defensive Midfield,UD Ibiza,free transfer,35,3
Jonathan Bru,Defensive Midfield,Retired,-,31,0
Arnold Mvuemba,Defensive Midfield,Without Club,-,35,1
Stéphane Mbia,Defensive Midfield,Without Club,free transfer,36,0
Alain Rochat,Centre-Back,Retired,?,35,1
Jacques Faty,Centre-Back,Retired,free transfer,33,1
John Mensah,Centre-Back,Retired,-,34,1
Adailton,Centre-Back,Retired,-,34,1
Cheick N'Diaye,Goalkeeper,Stade Briochin,-,31,1
Andreas Isaksson,Goalkeeper,Retired,?,38,3
Carlos Bueno,Centre-Forward,Wanderers FC,-,41,1
Pauleta,Centre-Forward,Retired,-,38,1
Franck Dja Djédjé,Right Winger,Cap d'Ail,free transfer,36,1
Fabrice Pancrate,Right Winger,Retired,free transfer,34,3
Bonaventure Kalou,Right Winger,Retired,-,32,2
Jérôme Rothen,Left Midfield,Retired,free transfer,35,0
Cristian Rodríguez,Central Midfield,Plaza Colonia,free transfer,36,4
Sergey Semak,Central Midfield,Retired,€2.00m,37,3
Vikash Dhorasoo,Central Midfield,Retired,-,35,1
Christophe Landrin,Central Midfield,Retired,free transfer,35,1
Clément Chantôme,Defensive Midfield,C'Chartres,-,35,2
Hocine Ragued,Defensive Midfield,Retired,free transfer,34,1
Édouard Cissé,Defensive Midfield,Retired,free transfer,34,1
Lorik Cana,Defensive Midfield,Retired,-,34,1
Stéphane Pichot,Right-Back,Retired,free transfer,38,3
Bernard Mendy,Right-Back,Retired,?,36,1
Boukary Dramé,Left-Back,Valcalepio,-,37,2
Sylvain Armand,Left-Back,Retired,free transfer,37,4
Ahmed Kantari,Centre-Back,Retired,-,34,3
Mario Yepes,Centre-Back,Retired,-,40,2
Jérôme Alonzo,Goalkeeper,Retired,free transfer,38,2
Lionel Létizi,Goalkeeper,Retired,free transfer,38,4
Christian Giménez,Centre-Forward,Retired,free transfer,35,0
Andrés Mendoza,Centre-Forward,Retired,free transfer,37,1
Koke,Centre-Forward,Retired,-,34,1
Mamadou Niang,Centre-Forward,Retired,-,39,0
Rahmane Barry,Second Striker,Montagnarde,free transfer,26,1
Franck Ribéry,Left Winger,Retired,-,39,1
Salomon Olembé,Left Midfield,Retired,free transfer,29,0
Anthony Flachi,Central Midfield,Unknown,free transfer,26,2
Sabri Lamouchi,Central Midfield,Retired,free transfer,38,0
Sylvain N'Diaye,Defensive Midfield,Retired,free transfer,35,1
Koji Nakata,Defensive Midfield,Retired,free transfer,36,7
Garry Bocaly,Right-Back,L'Aiglon,-,30,3
Marek Amiri,Left-Back,Endoume,-,33,2
Fabrice Begeorgi,Left-Back,Without Club,free transfer,35,1
Taye Taiwo,Left-Back,Without Club,free transfer,37,0
Alexis Pradie,Centre-Back,GPS Portland,free transfer,24,0
Medhi Benatia,Centre-Back,Retired,free transfer,34,0
Bostjan Cesar,Centre-Back,Retired,free transfer,38,10
Frédéric Déhu,Centre-Back,Retired,free transfer,35,1
Abdoulaye Méïté,Centre-Back,Retired,-,38,1
Raïs M'Bolhi,Goalkeeper,Al-Qadsiah FC,-,36,0
Jérémy Gavanon,Goalkeeper,Retired,free transfer,31,5
Cédric Carrasso,Goalkeeper,Retired,free transfer,36,1
Fabien Barthez,Goalkeeper,Retired,-,36,0
David Gigliotti,Centre-Forward,Istres FC,free transfer,37,1
Javier Chevantón,Centre-Forward,Retired,free transfer,34,0
Christian Vieri,Centre-Forward,Retired,free transfer,36,1
Emmanuel Adebayor,Centre-Forward,AC Semassi FC,-,37,1
Serge Gakpé,Right Winger,Karmiotissa,free transfer,34,2
Olivier Kapo,Attacking Midfield,Retired,free transfer,35,1
Camel Meriem,Attacking Midfield,Retired,free transfer,36,2
Nicolas Maurice-Belay,Left Midfield,Retired,-,34,0
Jaroslav Plasil,Central Midfield,Retired,End of loan,37,5
Gerard López,Central Midfield,Retired,-,32,2
Marko Muslin,Defensive Midfield,Retired,free transfer,36,2
Diego Pérez,Defensive Midfield,Retired,€2.00m,35,5
Akis Zikos,Defensive Midfield,Retired,free transfer,34,2
Éric Cubilier,Right-Back,Retired,-,32,1
Maicon,Right-Back,Retired,-,40,0
Patrice Evra,Left-Back,Retired,-,38,1
François Modesto,Centre-Back,Retired,free transfer,38,3
Julien Rodriguez,Centre-Back,Retired,free transfer,34,5
Gaël Givet,Centre-Back,Retired,free transfer,35,1
Sébastien Squillaci,Centre-Back,Retired,free transfer,37,4
Guillaume Warmuz,Goalkeeper,Retired,free transfer,37,2
Flavio Roma,Goalkeeper,Retired,free transfer,40,2
Karim Benzema,Centre-Forward,Real Madrid,-,21,4
Nilmar,Centre-Forward,Retired,free transfer,34,1
Fred,Centre-Forward,Retired,?,39,2
Sidney Govou,Right Winger,Retired,free transfer,38,2
Florent Malouda,Left Winger,Retired,-,38,0
Juninho Pernambucano,Attacking Midfield,Retired,free transfer,39,1
Tiago Mendes,Central Midfield,Retired,free transfer,36,6
Mahamadou Diarra,Defensive Midfield,Retired,-,33,0
Anthony Réveillère,Right-Back,Retired,-,36,0
Jérémy Berthod,Left-Back,Retired,-,31,2
Éric Abidal,Left-Back,Retired,free transfer,36,1
Lamine Diatta,Centre-Back,Retired,-,37,0
Sylvain Monsoreau,Centre-Back,Retired,free transfer,36,1
Patrick Müller,Centre-Back,Retired,free transfer,33,2
Caçapa,Centre-Back,Retired,free transfer,36,1
Cris,Centre-Back,Retired,free transfer,37,1
Joan Hartock,Goalkeeper,Fougères,-,35,1
Rémy Riou,Goalkeeper,Olympique Lyon,?,35,3
Rémy Vercoutre,Goalkeeper,Retired,free transfer,38,4
Grégory Coupet,Goalkeeper,Retired,€800Th.,38,2
Abdelaziz Ahanfouf,Centre-Forward,Retired,free transfer,38,1
Klemen Lavric,Centre-Forward,Retired,-,33,1
Kai Michalke,Left Winger,Retired,-,33,0
Niklas Stegmann,Attacking Midfield,Retired,free transfer,25,1
Dirk Lottner,Attacking Midfield,Retired,free transfer,35,1
Mike Rietpietsch,Right Midfield,Retired,-,38,1
Markus Anfang,Central Midfield,Retired,free transfer,36,1
Markus Hausweiler,Defensive Midfield,Retired,free transfer,31,2
Adam Bodzek,Defensive Midfield,Düsseldorf II,€250Th.,37,11
Andreas Voss,Defensive Midfield,Retired,-,35,2
Ivica Grlic,Defensive Midfield,Retired,free transfer,36,7
Razundara Tjikuzu,Defensive Midfield,SK W'hoek,-,35,0
Mihai Tararache,Defensive Midfield,Retired,-,34,0
Carsten Wolters,Right-Back,Retired,-,46,6
Tobias Willi,Right-Back,Retired,free transfer,30,5
Alexander Bugera,Left-Back,Retired,-,37,2
Oliver Rademacher,Centre-Back,SV Heißen III,free transfer,32,3
Necat Aygün,Centre-Back,Retired,-,34,1
Marco Caligiuri,Centre-Back,Retired,free transfer,36,6
Marino Biliskov,Centre-Back,Retired,€200Th.,37,2
André Poggenborg,Goalkeeper,Retired,free transfer,36,7
Sven Beuckert,Goalkeeper,Retired,free transfer,35,6
Artur Wichniarek,Centre-Forward,Retired,free transfer,34,0
Sibusiso Zuma,Centre-Forward,Retired,-,40,1
Julian Loose,Right Winger,SC Greven 09,free transfer,32,3
Diego León,Attacking Midfield,Retired,free transfer,33,1
Fatmir Vata,Attacking Midfield,Retired,-,43,1
Nebojsa Krupnikovic,Attacking Midfield,Retired,-,35,1
Roberto Pinto,Right Midfield,Retired,-,36,1
Kamil Vacek,Central Midfield,Pardubice,free transfer,35,3
Massimilian Porcello,Central Midfield,Retired,free transfer,33,2
David Kobylik,Central Midfield,Retired,?,34,0
Oliver Zech,Defensive Midfield,SC Wiedenbrück,free transfer,25,0
Vanco Trajanov,Defensive Midfield,Atletik Kuklen,-,44,4
Rüdiger Kauf,Defensive Midfield,Retired,€300Th.,36,10
Christian Schwegler,Right-Back,Retired,free transfer,37,4
Bernd Korzynietz,Right-Back,Retired,free transfer,31,1
Markus Schuler,Left-Back,Retired,-,41,1
Radim Kucera,Centre-Back,Retired,free transfer,38,2
Márcio Borges,Centre-Back,Retired,€100Th.,34,8
Michael Fink,Centre-Back,FC Gießen,free transfer,39,2
Heiko Westermann,Centre-Back,Retired,free transfer,35,1
Dennis Eilhoff,Goalkeeper,Retired,free transfer,30,1
Mathias Hain,Goalkeeper,Retired,free transfer,38,3
Carsten Jancker,Centre-Forward,Retired,free transfer,36,3
Sebastian Reinert,Attacking Midfield,SF Bundenthal,free transfer,33,2
Axel Bellinghausen,Left Midfield,SC Unterbach,-,38,3
Kamil Kosowski,Left Midfield,Retired,free transfer,36,0
Mihael Mikic,Right Midfield,Retired,free transfer,39,1
Ciriaco Sforza,Central Midfield,Retired,free transfer,36,4
Christian Nerlinger,Defensive Midfield,Retired,free transfer,33,2
Daniel Damm,Defensive Midfield,Retired,free transfer,28,1
Michael Lehmann,Defensive Midfield,Retired,free transfer,31,5
Balazs Borbely,Defensive Midfield,Retired,?,35,1
Jon Inge Höiland,Right-Back,Retired,free transfer,38,1
Marcelo Pletsch,Centre-Back,Retired,-,35,0
Ingo Hertzsch,Centre-Back,Retired,-,36,2
Lucién Mettomo,Centre-Back,Retired,free transfer,32,1
Fabian Schönheim,Centre-Back,Retired,-,33,1
Hervé Nzelo-Lembi,Centre-Back,Retired,free transfer,34,2
Thomas Ernst,Goalkeeper,Retired,free transfer,38,3
Andreas Clauß,Goalkeeper,Retired,-,42,1
Jürgen Macho,Goalkeeper,Retired,-,37,1
Tobias Damm,Centre-Forward,Retired,-,37,2
Ranisav Jovanovic,Centre-Forward,Retired,free transfer,37,1
Conor Casey,Centre-Forward,Retired,free transfer,36,1
Michael Thurk,Centre-Forward,Retired,-,46,0
Petr Ruman,Attacking Midfield,Retired,free transfer,33,0
Dennis Weiland,Left Midfield,Retired,free transfer,36,1
Fatmir Pupalovic,Right Midfield,Retired,-,32,0
Fabian Gerber,Right Midfield,Retired,free transfer,34,4
Damir Vrancic,Central Midfield,Braunschweig II,-,37,6
Milorad Pekovic,Defensive Midfield,Retired,free transfer,38,1
Henning Lichte,Right-Back,Retired,free transfer,33,7
Christian Demirtas,Right-Back,Retired,free transfer,32,2
Marco Rose,Left-Back,Retired,-,35,1
Benjamin Weigelt,Left-Back,Retired,-,35,5
Tamás Bódog,Centre-Back,Retired,-,38,1
Mathias Abel,Centre-Back,Retired,free transfer,32,5
Nikolce Noveski,Centre-Back,Retired,-,37,1
Dimo Wache,Goalkeeper,Retired,-,39,0
Dominik Stroh-Engel,Centre-Forward,FC Memmingen,free transfer,37,1
Ioannis Amanatidis,Centre-Forward,Retired,€1.80m,29,6
Francisco Copado,Second Striker,Retired,free transfer,35,0
Alexander Meier,Second Striker,Retired,-,37,0
Stefan Lexa,Right Winger,Retired,free transfer,37,1
Markus Weissenberger,Attacking Midfield,Retired,free transfer,36,1
Benjamin Köhler,Left Midfield,Retired,free transfer,37,4
Alexander Schur,Defensive Midfield,Retired,free transfer,36,1
Benjamin Huggel,Defensive Midfield,Retired,€500Th.,35,5
Christoph Preuß,Defensive Midfield,Retired,€500Th.,29,5
Jermaine Jones,Defensive Midfield,Retired,-,39,1
Alexander Huber,Right-Back,Retired,free transfer,32,1
Marko Rehmer,Right-Back,Retired,free transfer,35,2
Patrick Ochs,Right-Back,Retired,-,35,2
Andree Wiedener,Left-Back,Retired,free transfer,36,4
Christopher Reinhard,Left-Back,Sparta Bürgel,free transfer,36,1
Jurica Puljiz,Centre-Back,Jadran LP,free transfer,31,1
Daniyel Cimen,Centre-Back,Groß-Umstadt,-,34,6
Marco Russ,Centre-Back,Retired,€400Th.,35,7
Chris,Centre-Back,Retired,free transfer,35,0
Aleksandar Vasoski,Centre-Back,Retired,free transfer,32,0
Robert Cue,Goalkeeper,TG Friedberg II,free transfer,37,1
Oka Nikolov,Goalkeeper,Retired,-,40,0
Attila Tököli,Centre-Forward,Kiskunfélegyház,-,43,4
Thomas Bröker,Centre-Forward,Retired,free transfer,34,1
Matthias Scherz,Centre-Forward,Retired,-,41,0
Peter Madsen,Centre-Forward,Retired,End of loan,34,0
Marco Streller,Centre-Forward,Retired,€1.50m,34,8
Imre Szabics,Second Striker,Retired,free transfer,32,3
Albert Streit,Right Winger,Retired,free transfer,34,0
Denis Epstein,Left Winger,TSG Balingen II,free transfer,34,1
Anthony Lurling,Attacking Midfield,Retired,free transfer,39,2
Lukas Podolski,Attacking Midfield,Górnik Zabrze,free transfer,36,1
Ricardo Cabanas,Central Midfield,Retired,€875Th.,33,5
Dimitrios Grammozis,Defensive Midfield,Retired,free transfer,35,1
Sebastian Schindzielorz,Defensive Midfield,Retired,free transfer,34,5
Evanilson,Right-Back,Retired,free transfer,38,0
Boris Zivkovic,Right-Back,Retired,free transfer,35,1
Christian Lell,Right-Back,Retired,-,32,1
Patrick Weiser,Left-Back,Retired,free transfer,35,2
Timo Achenbach,Left-Back,Retired,free transfer,36,0
Konstantinos Konstantinidis,Centre-Back,Retired,free transfer,36,1
Carsten Cullmann,Centre-Back,Retired,-,35,4
Marvin Matip,Centre-Back,SV Hundszell,-,36,2
Alpay Özalan,Centre-Back,Retired,-,35,3
Alexander Bade,Goalkeeper,Retired,-,39,1
Stefan Wessels,Goalkeeper,Retired,-,33,1
Vahid Hashemian,Centre-Forward,Retired,-,36,1
Thomas Brdaric,Centre-Forward,Retired,€1.80m,33,3
Jiri Stajner,Second Striker,FK Nova Ves,free transfer,46,2
Daniel Stendel,Right Winger,Retired,free transfer,34,1
Markus Weck,Attacking Midfield,SVE Hiddestorf,free transfer,26,1
Hendrik Hahne,Attacking Midfield,TSV Bemerode,-,28,2
Ferhat Bikmaz,Defensive Midfield,OSV Hannover,-,34,2
Bastian Schulz,Defensive Midfield,Retired,free transfer,33,2
Christoph Dabrowski,Defensive Midfield,Retired,free transfer,35,7
Altin Lala,Defensive Midfield,Retired,free transfer,37,0
Hanno Balitsch,Defensive Midfield,Retired,free transfer,35,1
Steven Cherundolo,Right-Back,Retired,free transfer,35,15
Michael Tarnat,Left-Back,Retired,free transfer,40,5
Moritz Marheineke,Centre-Back,Retired,free transfer,33,10
Jonas Troest,Centre-Back,Retired,free transfer,37,6
Vinícius,Centre-Back,Retired,-,31,0
Dariusz Zuraw,Centre-Back,Retired,free transfer,39,2
Jörg Sievers,Goalkeeper,Retired,?,38,14
Morten Jensen,Goalkeeper,Retired,free transfer,31,2
Giovane Elber,Centre-Forward,Retired,free transfer,34,0
Vaclav Sverkos,Centre-Forward,Retired,free transfer,31,3
Nando Rafael,Centre-Forward,Union Niederrad,-,37,1
Marek Heinz,Centre-Forward,Retired,?,39,1
Wesley Sonck,Centre-Forward,Retired,-,36,0
Oliver Neuville,Centre-Forward,Retired,free transfer,38,1
Marcell Jansen,Centre-Forward,HSV III,-,33,3
Krisztián Lisztes,Attacking Midfield,Retired,free transfer,39,2
Thomas Broich,Attacking Midfield,Retired,free transfer,36,7
Christian Ziege,Left Midfield,Retired,free transfer,34,2
Ivo Ulich,Central Midfield,Retired,free transfer,34,2
Robert Fleßers,Defensive Midfield,Retired,free transfer,33,2
Eugen Polanski,Defensive Midfield,Retired,€3.00m,32,5
Peer Kluge,Defensive Midfield,Retired,free transfer,36,2
Tobias Levels,Right-Back,Retired,-,32,1
Filip Daems,Left-Back,Retired,free transfer,39,2
Hassan El Fakiri,Left-Back,Retired,free transfer,41,3
Marvin Compper,Centre-Back,Retired,free transfer,35,1
Milan Fukal,Centre-Back,Retired,free transfer,43,5
Bo Svensson,Centre-Back,Retired,€350Th.,35,7
Darius Kampa,Goalkeeper,Retired,free transfer,34,4
Markus Schroth,Centre-Forward,Retired,free transfer,34,2
Stefan Kießling,Centre-Forward,Retired,€6.50m,34,12
Samuel Slovak,Attacking Midfield,Retired,free transfer,35,4
Sezer Öztürk,Attacking Midfield,Retired,End of loan,30,0
Marek Mintal,Attacking Midfield,Retired,-,39,1
Martin Klarer,Central Midfield,Retired,free transfer,30,5
Adel Chedli,Central Midfield,Retired,free transfer,37,1
Jan Kristiansen,Central Midfield,Graesrödderne,-,39,4
Sebastian Szikal,Defensive Midfield,Retired,free transfer,33,3
Maik Wagefeld,Defensive Midfield,Retired,free transfer,33,3
Jaouhar Mnari,Defensive Midfield,Retired,free transfer,35,1
Mario Cantaluppi,Defensive Midfield,Retired,free transfer,36,0
Jan Polak,Defensive Midfield,Retired,free transfer,39,2
Benjamin Lense,Right-Back,Retired,free transfer,32,1
Dominik Reinhardt,Right-Back,Retired,-,32,1
Michael Kammermeyer,Centre-Back,Retired,-,34,1
Bartosz Bosacki,Centre-Back,Retired,free transfer,35,5
Thomas Paulus,Centre-Back,Retired,free transfer,35,2
Andreas Wolf,Centre-Back,Retired,€1.50m,32,2
Marek Nikl,Centre-Back,Retired,free transfer,36,5
Javier Pinola,Centre-Back,River Plate,free transfer,34,2
Philipp Tschauner,Goalkeeper,Retired,€350Th.,37,3
Daniel Klewer,Goalkeeper,Retired,free transfer,34,7
Raphael Schäfer,Goalkeeper,Retired,€500Th.,38,9
Steve Marlet,Centre-Forward,Retired,free transfer,38,1
Rick Hoogendorp,Centre-Forward,Retired,free transfer,35,1
Diego Klimowicz,Centre-Forward,Retired,-,37,0
Martin Petrov,Left Winger,Retired,-,35,1
Andrés D'Alessandro,Attacking Midfield,Retired,free transfer,41,0
Levan Tskitishvili,Left Midfield,Retired,free transfer,33,0
Cédric Makiadi,Central Midfield,Retired,free transfer,32,1
Miroslav Karhan,Central Midfield,Retired,-,40,2
Karsten Fischer,Defensive Midfield,Retired,free transfer,34,1
Marian Hristov,Defensive Midfield,Retired,-,37,2
Christopher Lamprecht,Right-Back,VfR K'lautern,-,32,3
Thomas Rytter,Right-Back,Retired,-,34,0
Alex,Right-Back,Retired,free transfer,34,4
Bojan Neziri,Left-Back,Retired,-,29,0
Hans Sarpei,Left-Back,Retired,€400Th.,36,2
Peter Van der Heyden,Left-Back,Retired,-,40,4
Facundo Quiroga,Centre-Back,Retired,free transfer,35,2
André Lenz,Goalkeeper,Retired,free transfer,39,8
Simon Jentzsch,Goalkeeper,Retired,-,37,4
Cacau,Centre-Forward,Retired,-,35,0
Mario Gómez,Centre-Forward,Retired,€3.00m,35,2
Danijel Ljuboja,Centre-Forward,Retired,free transfer,36,1
Jon Dahl Tomasson,Centre-Forward,Retired,free transfer,35,3
Jesper Grönkjaer,Left Winger,Retired,€2.00m,34,5
Horst Heldt,Attacking Midfield,Retired,free transfer,36,3
Mario Carevic,Left Midfield,Retired,-,33,1
Daniel Bierofka,Left Midfield,Retired,-,36,1
Christian Gentner,Central Midfield,FC Luzern,-,36,-2
Thomas Hitzlsperger,Central Midfield,Retired,-,31,1
Bernd Nehrig,Defensive Midfield,Retired,free transfer,36,2
Zvonimir Soldo,Defensive Midfield,Retired,€1.00m,39,10
Tobias Rathgeb,Defensive Midfield,Retired,free transfer,35,7
Silvio Meißner,Defensive Midfield,Retired,End of loan,35,1
Christian Tiffert,Defensive Midfield,Retired,free transfer,37,0
Andreas Hinkel,Right-Back,Retired,-,30,1
Heiko Gerber,Left-Back,Retired,free transfer,38,1
Ludovic Magnin,Left-Back,Retired,free transfer,33,2
Marcel Schuon,Centre-Back,TSV Haiterbach,?,31,4
Markus Babbel,Centre-Back,Retired,free transfer,35,3
Matthieu Delpierre,Centre-Back,Retired,free transfer,35,2
Fernando Meira,Centre-Back,Retired,free transfer,34,1
Michael Langer,Goalkeeper,FC Schalke 04,?,32,1
Dirk Heinen,Goalkeeper,Retired,-,37,0
Timo Hildebrand,Goalkeeper,Retired,-,36,1
Marko Pantelic,Centre-Forward,Retired,free transfer,35,3
Ashkan Dejagah,Right Winger,Foolad,free transfer,36,1
Ellery Cairo,Right Winger,Retired,free transfer,35,1
Christian Müller,Attacking Midfield,TuS Lockhausen,-,36,0
Kevin-Prince Boateng,Attacking Midfield,Hertha BSC,-,34,-2
Marcelinho Paraíba,Attacking Midfield,Retired,-,46,1
Ante Covic,Right Midfield,Retired,-,35,7
Sejad Salihovic,Central Midfield,Retired,-,37,0
Andreas Neuendorf,Central Midfield,Retired,free transfer,39,4
Andreas Schmidt,Defensive Midfield,Retired,-,35,3
Pál Dárdai,Defensive Midfield,Retired,-,36,1
Oliver Schröder,Defensive Midfield,Retired,free transfer,37,2
Niko Kovac,Defensive Midfield,Retired,free transfer,38,3
Pascal Bieler,Left-Back,Retired,free transfer,30,0
Malik Fathi,Left-Back,Retired,-,35,3
Christopher Samba,Centre-Back,Retired,-,34,1
Alexander Madlung,Centre-Back,Retired,-,35,2
Dick Van Burik,Centre-Back,Retired,€600Th.,33,10
Arne Friedrich,Centre-Back,Retired,-,34,1
Josip Simunic,Centre-Back,Retired,free transfer,37,4
Kevin Stuhr-Ellegaard,Goalkeeper,Retired,-,39,0
Gerhard Tremmel,Goalkeeper,Retired,End of loan,39,1
Christian Fiedler,Goalkeeper,Retired,-,34,16
Marcus Steegmann,Centre-Forward,Retired,-,35,1
Sahr Senesie,Centre-Forward,Retired,free transfer,30,2
Cedric van der Gun,Centre-Forward,Retired,-,35,2
Jan Koller,Centre-Forward,Retired,free transfer,38,1
David Odonkor,Right Winger,SC West II,-,38,1
Delron Buckley,Left Winger,Retired,-,37,1
Matthew Amoah,attack,Retired,free transfer,37,1
Lars Ricken,Attacking Midfield,Retired,-,33,1
Tomas Rosicky,Attacking Midfield,Retired,free transfer,38,2
Mehmet Akgün,Central Midfield,Retired,-,33,1
Nizamettin Caliskan,Central Midfield,Manisa FK,-,32,3
Marc-André Kruska,Central Midfield,FC Frohlinde,free transfer,32,1
Florian Kringe,Central Midfield,Retired,free transfer,33,3
Marcel Großkreutz,Defensive Midfield,Brünninghausen,free transfer,35,4
Nuri Sahin,Defensive Midfield,Retired,free transfer,34,2
