,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,teams,playerprofile,birthdate,position,retiredOrNot,retirementDate,lastTransferFee,lastTransferDate
20,20,20,20,KSV Roeselare (- 2020),Björn De Coninck,20/07/1977,Left-Back,Retired,07/01/2009,free transfer,01/07/2008
21,21,21,21,KSV Roeselare (- 2020),Cyril Detremmerie,20/06/1985,Centre-Back,,,free transfer,01/07/2009
22,22,22,22,KSV Roeselare (- 2020),James Lahousse,09/11/1982,Centre-Back,Retired,,?,01/07/2012
23,23,23,23,KSV Roeselare (- 2020),Christian Bouckenooghe,07/02/1977,Defender,Retired,,?,01/07/2008
24,24,24,24,KSV Roeselare (- 2020),Wouter Biebauw,21/05/1984,Goalkeeper,Retired,07/01/2022,free transfer,23/09/2020
25,25,25,25,KSV Roeselare (- 2020),Jurgen Sierens,10/04/1976,Goalkeeper,Retired,07/01/2012,-,01/07/2011
26,26,26,26,SV Zulte Waregem,Frederik D'Hollander,20/05/1976,Centre-Forward,Retired,,free transfer,01/01/2010
27,27,27,27,SV Zulte Waregem,Ibrahim Tankary,24/03/1972,Centre-Forward,Retired,07/01/2008,free transfer,01/10/2007
28,28,28,28,SV Zulte Waregem,Sylvio Breleur,13/10/1978,Centre-Forward,Retired,07/01/2017,free transfer,01/07/2015
29,29,29,29,SV Zulte Waregem,Gunter Thiebaut,12/01/1977,Centre-Forward,Retired,,-,01/07/2015
30,30,30,30,SV Zulte Waregem,Ibrahim Salou,29/05/1979,Centre-Forward,Retired,,-,16/09/2016
31,31,31,31,SV Zulte Waregem,Wouter Vandendriessche,27/06/1984,attack,Retired,,?,01/07/2011
32,32,32,32,SV Zulte Waregem,Lander Van Steenbrugghe,27/11/1986,Attacking Midfield,Unknown,,free transfer,01/07/2014
33,33,33,33,SV Zulte Waregem,Jo Vermast,29/09/1981,Left Midfield,Retired,,-,08/12/2010
34,34,34,34,SV Zulte Waregem,Stijn Meert,06/04/1978,Left Midfield,Retired,07/01/2013,?,01/07/2012
35,35,35,35,SV Zulte Waregem,Tim Matthys,23/12/1983,Right Midfield,SK Munkzwalm,07/01/2019,?,01/07/2014
36,36,36,36,SV Zulte Waregem,Nathan D'Haemers,26/01/1978,Right Midfield,Retired,09/29/2016,?,01/07/2014
37,37,37,37,SV Zulte Waregem,Jonas Vandermarliere,07/03/1986,Central Midfield,Sassport Boezinge,07/01/2020,free transfer,01/07/2017
38,38,38,38,SV Zulte Waregem,Tony Sergeant,06/06/1977,Central Midfield,Retired,07/01/2012,?,01/01/2008
39,39,39,39,SV Zulte Waregem,Ludwin Van Nieuwenhuyze,25/02/1978,Defensive Midfield,Retired,07/01/2014,free transfer,01/07/2011
40,40,40,40,SV Zulte Waregem,Mathieu Verschuère,08/02/1972,Defensive Midfield,Retired,,free transfer,01/07/2008
41,41,41,41,SV Zulte Waregem,Michaël Wiggers,08/02/1980,Right-Back,Retired,,?,01/07/2014
42,42,42,42,SV Zulte Waregem,Stijn Minne,29/06/1978,Right-Back,Retired,07/01/2020,free transfer,01/07/2016
43,43,43,43,SV Zulte Waregem,Frédéric Dupré,12/05/1979,Right-Back,Retired,,?,01/01/2008
44,44,44,44,SV Zulte Waregem,Guy Veldeman,14/12/1978,Left-Back,Retired,07/01/2014,?,01/07/2012
45,45,45,45,SV Zulte Waregem,Philippe Buysens,16/02/1985,Centre-Back,Unknown,,free transfer,01/07/2014
46,46,46,46,SV Zulte Waregem,Frédéric Dindeleux,16/01/1974,Centre-Back,Retired,,free transfer,01/07/2009
47,47,47,47,SV Zulte Waregem,Stefan Leleu,28/02/1970,Centre-Back,Retired,07/01/2008,free transfer,01/07/2007
48,48,48,48,SV Zulte Waregem,Tjörven De Brul,22/06/1973,Centre-Back,Retired,10/13/2011,free transfer,01/07/2009
49,49,49,49,SV Zulte Waregem,Sven Van Ryckeghem,18/03/1985,Goalkeeper,Unknown,07/01/2015,free transfer,01/07/2014
50,50,50,50,SV Zulte Waregem,Björn Sengier,12/07/1979,Goalkeeper,Retired,07/01/2016,free transfer,10/08/2014
51,51,51,51,SV Zulte Waregem,Pieter Merlier,29/03/1979,Goalkeeper,SK Berlare,07/23/2018,?,01/07/2014
52,52,52,52,RAA La Louviere (- 2009),Tiago Bezerra,17/02/1987,Centre-Forward,Al-Orobah FC,07/07/2022,free transfer,08/09/2021
53,53,53,53,RAA La Louviere (- 2009),Rony Baynon,21/06/1987,Centre-Forward,Retired,,free transfer,01/07/2013
54,54,54,54,RAA La Louviere (- 2009),Stavros Glouftsis,20/10/1981,Centre-Forward,Rapid Leest,08/31/2021,-,31/08/2019
55,55,55,55,RAA La Louviere (- 2009),Frederic Bosak,17/07/1986,Centre-Forward,Unknown,,free transfer,01/07/2012
56,56,56,56,RAA La Louviere (- 2009),Alexandre Lecomte,22/06/1980,Centre-Forward,Unknown,,?,01/07/2013
57,57,57,57,RAA La Louviere (- 2009),Sergio Sánchez,05/02/1973,Centre-Forward,Retired,,?,01/07/2008
58,58,58,58,RAA La Louviere (- 2009),Nordin Jbari,05/02/1975,Centre-Forward,Retired,,-,01/01/2007
59,59,59,59,RAA La Louviere (- 2009),Youssef Sofiane,08/07/1984,Centre-Forward,Retired,,?,01/01/2012
60,60,60,60,RAA La Louviere (- 2009),Aco Stojkov,29/04/1983,Left Winger,Without Club,,free transfer,01/07/2019
61,61,61,61,RAA La Louviere (- 2009),Benoît Ladrière,27/04/1987,Attacking Midfield,RCS Braine,08/28/2020,free transfer,01/07/2019
62,62,62,62,RAA La Louviere (- 2009),Benjamin,28/06/1978,Attacking Midfield,Retired,,free transfer,01/07/2012
63,63,63,63,RAA La Louviere (- 2009),Julien Pinelli,27/01/1987,Left Midfield,RC Villers,07/01/2019,free transfer,01/07/2016
64,64,64,64,RAA La Louviere (- 2009),Jaroslaw Mazurkiewicz,13/11/1979,Right Midfield,Retired,01/01/2013,free transfer,01/07/2011
65,65,65,65,RAA La Louviere (- 2009),Fadhil Mohamed Brahami,14/04/1979,Right Midfield,Retired,07/01/2013,?,01/01/2013
66,66,66,66,RAA La Louviere (- 2009),Bob Cousin,04/11/1981,Central Midfield,Retired,07/01/2015,?,01/07/2013
67,67,67,67,RAA La Louviere (- 2009),Trésor Luntala,31/05/1982,Defensive Midfield,Retired,01/01/2022,-,01/07/2012
68,68,68,68,RAA La Louviere (- 2009),Jules Oulaï,30/07/1986,Defensive Midfield,Retired,,End of loan,30/06/2010
69,69,69,69,RAA La Louviere (- 2009),Egutu Oliseh,18/11/1980,Defensive Midfield,Retired,,free transfer,01/01/2017
70,70,70,70,RAA La Louviere (- 2009),Blaise N'Goma,03/06/1985,,Retired,,free transfer,01/07/2016
71,71,71,71,RAA La Louviere (- 2009),Geraldo Sprio,16/01/1987,midfield,Retired,07/01/2015,?,01/07/2012
72,72,72,72,RAA La Louviere (- 2009),Alexandre Potier,14/05/1986,midfield,AS Fontainoise,07/01/2017,?,01/07/2013
73,73,73,73,RAA La Louviere (- 2009),Fritz Emeran,28/03/1976,Right-Back,Retired,,free transfer,01/07/2010
74,74,74,74,RAA La Louviere (- 2009),Martin Ekani,21/04/1984,Right-Back,Retired,07/01/2022,free transfer,01/07/2020
75,75,75,75,RAA La Louviere (- 2009),Olivier Guilmot,12/07/1979,Right-Back,Retired,,?,01/07/2013
76,76,76,76,RAA La Louviere (- 2009),George Blay,07/08/1980,Right-Back,Retired,,free transfer,26/08/2011
77,77,77,77,RAA La Louviere (- 2009),Dimitri Leurquin,03/04/1985,Left-Back,Retired,,?,01/07/2013
78,78,78,78,RAA La Louviere (- 2009),Laurent Montoya,28/09/1980,Left-Back,Retired,,-,01/07/2008
79,79,79,79,RAA La Louviere (- 2009),Yannick Vervalle,03/06/1981,Left-Back,KV Zuun,08/31/2018,-,01/07/2017
80,80,80,80,RAA La Louviere (- 2009),Quantin Durieux,28/01/1985,Centre-Back,Without Club,07/01/2019,?,01/07/2013
81,81,81,81,RAA La Louviere (- 2009),Alexandre Teklak,16/08/1975,Centre-Back,Retired,07/01/2012,free transfer,01/01/2010
82,82,82,82,RAA La Louviere (- 2009),Benoit Daniel,19/08/1986,Goalkeeper,Retired,07/01/2019,free transfer,01/07/2015
83,83,83,83,RAA La Louviere (- 2009),Asmir Begovic,20/06/1987,Goalkeeper,Everton,07/20/2021,End of loan,31/08/2020
84,84,84,84,RAA La Louviere (- 2009),Michaël Cordier,27/03/1984,Goalkeeper,FC Havré,07/01/2020,free transfer,01/07/2018
85,85,85,85,Cercle Brugge,Ibad Muhamadu,22/02/1982,Centre-Forward,Retired,07/01/2013,free transfer,01/07/2011
86,86,86,86,Cercle Brugge,Paulus Roiha,03/08/1980,Centre-Forward,Retired,01/01/2012,-,01/07/2011
87,87,87,87,Cercle Brugge,Dieter Dekelver,17/08/1979,Centre-Forward,Retired,08/05/2013,free transfer,01/07/2012
88,88,88,88,Cercle Brugge,Darko Pivaljevic,18/02/1975,Centre-Forward,Retired,07/01/2014,-,06/09/2013
89,89,89,89,Cercle Brugge,Brian Pinas,29/12/1978,Left Winger,Retired,,free transfer,01/07/2010
90,90,90,90,Cercle Brugge,Keith Barker,21/10/1986,attack,Retired,,free transfer,01/01/2008
91,91,91,91,Cercle Brugge,Vit Valenta,04/01/1983,Attacking Midfield,Retired,07/01/2018,?,21/02/2018
92,92,92,92,Cercle Brugge,Slobodan Slovic,09/02/1975,Attacking Midfield,Retired,,free transfer,01/01/2014
93,93,93,93,Cercle Brugge,Stijn De Smet,27/03/1985,Attacking Midfield,Retired,,free transfer,01/07/2019
94,94,94,94,Cercle Brugge,Frederik Boi,25/10/1981,Right Midfield,Retired,07/01/2018,free transfer,01/07/2017
95,95,95,95,Cercle Brugge,Matthias Feys,22/05/1985,Central Midfield,SV Diksmuide,07/01/2022,free transfer,01/07/2017
96,96,96,96,Cercle Brugge,Harold Meyssen,24/07/1971,Central Midfield,Retired,01/01/2010,free transfer,01/07/2008
97,97,97,97,Cercle Brugge,Christophe Grondin,02/09/1983,Defensive Midfield,Tournefeuille,08/19/2016,?,07/07/2015
98,98,98,98,Cercle Brugge,Milenko Milosevic,13/11/1976,Defensive Midfield,Retired,07/01/2018,free transfer,28/03/2013
99,99,99,99,Cercle Brugge,Ewout Denys,04/02/1987,midfield,Rapid Leest,07/01/2020,-,01/07/2019
100,100,100,100,Cercle Brugge,Yannick Euvrard,17/01/1986,Right-Back,KRC Waregem,07/01/2019,?,01/07/2018
101,101,101,101,Cercle Brugge,Jan Masureel,06/09/1981,Right-Back,Retired,,?,01/07/2013
102,102,102,102,Cercle Brugge,Tom Van Mol,12/10/1972,Left-Back,Retired,07/01/2010,free transfer,01/07/2008
103,103,103,103,Cercle Brugge,Bram Vandenbussche,01/02/1981,Centre-Back,SK Eernegem,07/01/2020,free transfer,01/07/2014
104,104,104,104,Cercle Brugge,Anthony Portier,01/06/1982,Centre-Back,Retired,12/17/2017,free transfer,01/08/2016
105,105,105,105,Cercle Brugge,Jimmy De Wulf,09/06/1980,Centre-Back,Retired,07/01/2013,?,01/07/2012
106,106,106,106,Cercle Brugge,Djordje Svetlicic,05/01/1974,Centre-Back,Retired,,free transfer,01/07/2008
107,107,107,107,Cercle Brugge,Denis Viane,02/10/1977,Centre-Back,Retired,03/15/2012,free transfer,31/08/2011
108,108,108,108,Cercle Brugge,Luke Jones,10/04/1987,Centre-Back,Without Club,,free transfer,25/05/2018
109,109,109,109,Cercle Brugge,Glenn Carton,26/03/1984,,Retired,-,?,01/01/2006
110,110,110,110,Cercle Brugge,Rubin Dantschotter,18/02/1986,Goalkeeper,Retired,,free transfer,01/07/2013
111,111,111,111,Cercle Brugge,Francky Vandendriessche,07/04/1971,Goalkeeper,Retired,07/01/2007,free transfer,01/07/2005
112,112,112,112,Sint-Truidense VV,Jurgen Rutten,19/02/1986,Centre-Forward,Retired,07/01/2014,free transfer,01/07/2012
113,113,113,113,Sint-Truidense VV,Brendon Santalab,09/09/1982,Centre-Forward,Without Club,01/01/2020,free transfer,24/05/2019
114,114,114,114,Sint-Truidense VV,Désiré M'Bonabucya,25/02/1977,Centre-Forward,Retired,04/01/2008,?,07/08/2007
115,115,115,115,Sint-Truidense VV,Ilija Stolica,07/07/1979,Centre-Forward,Retired,,End of loan,30/06/2011
116,116,116,116,Sint-Truidense VV,Asanda Sishuba,13/04/1980,Left Winger,Retired,,free transfer,01/01/2008
117,117,117,117,Sint-Truidense VV,Tamás Hajnal,15/03/1981,Attacking Midfield,Retired,07/01/2018,-,12/12/2014
118,118,118,118,Sint-Truidense VV,Marco Nijs,11/09/1979,Left Midfield,Retired,,?,01/07/2011
119,119,119,119,Sint-Truidense VV,Kris Buvens,30/12/1979,Right Midfield,Retired,07/01/2013,free transfer,01/07/2012
120,120,120,120,Sint-Truidense VV,Niels Prud´homme,15/06/1986,Central Midfield,Without Club,,free transfer,01/07/2014
121,121,121,121,Sint-Truidense VV,Dimitri De Condé,07/01/1975,Central Midfield,Retired,07/01/2011,free transfer,01/01/2011
122,122,122,122,Sint-Truidense VV,Jari Niemi,02/02/1977,Central Midfield,Retired,01/01/2013,?,01/08/2011
123,123,123,123,Sint-Truidense VV,Jonas Bogaerts,06/03/1987,Defensive Midfield,KVK Tienen,07/01/2018,free transfer,01/07/2016
124,124,124,124,Sint-Truidense VV,Kristof Delorge,26/02/1986,Defensive Midfield,,,free transfer,01/07/2008
125,125,125,125,Sint-Truidense VV,Peter Delorge,19/04/1980,Defensive Midfield,Retired,07/01/2015,free transfer,01/07/2013
126,126,126,126,Sint-Truidense VV,Sander Debroux,23/09/1982,midfield,Retired,07/01/2014,free transfer,02/02/2011
127,127,127,127,Sint-Truidense VV,Cyril Ramond,12/02/1980,Left-Back,Retired,,free transfer,01/07/2013
128,128,128,128,Sint-Truidense VV,Landry Mulemo,17/09/1986,Left-Back,Retired,,-,27/01/2020
129,129,129,129,Sint-Truidense VV,Christopher Baratto,04/12/1984,Centre-Back,Retired,,free transfer,01/07/2013
130,130,130,130,Sint-Truidense VV,Egon Wisniowski,19/02/1985,Centre-Back,Retired,,free transfer,01/07/2015
131,131,131,131,Sint-Truidense VV,Kristof Lardenoit,08/07/1983,Centre-Back,Retired,07/01/2014,free transfer,01/07/2013
132,132,132,132,Sint-Truidense VV,Jeroen Simaeys,12/05/1985,Centre-Back,Retired,07/01/2017,free transfer,03/07/2016
133,133,133,133,Sint-Truidense VV,Nicky Hayen,16/08/1980,Centre-Back,Retired,07/01/2014,?,01/07/2013
134,134,134,134,Sint-Truidense VV,David Van Hoyweghen,20/03/1976,Centre-Back,Retired,,free transfer,01/01/2012
135,135,135,135,Sint-Truidense VV,Simon Mignolet,06/03/1988,Goalkeeper,Club Brugge,08/05/2019,€10.60m,01/07/2013
136,136,136,136,Sint-Truidense VV,Frank Boeckx,27/09/1986,Goalkeeper,Retired,,free transfer,31/08/2015
137,137,137,137,Sint-Truidense VV,Dusan Belic,29/03/1971,Goalkeeper,Retired,01/01/2007,free transfer,01/01/2006
138,138,138,138,Sint-Truidense VV,Bart Deelkens,25/04/1978,Goalkeeper,Retired,07/01/2018,?,01/07/2016
139,139,139,139,FC Molenbeek Brüssel,Moussa Sanogo,16/07/1983,Centre-Forward,Retired,07/01/2018,-,09/07/2017
140,140,140,140,FC Molenbeek Brüssel,Igor de Camargo,12/05/1983,Centre-Forward,Without Club,07/01/2022,?,18/01/2022
141,141,141,141,FC Molenbeek Brüssel,Kristof Snelders,05/09/1982,Second Striker,Retired,07/01/2016,free transfer,01/07/2013
142,142,142,142,FC Molenbeek Brüssel,Mickael Nicoise,19/09/1984,Right Winger,Retired,,?,01/07/2018
143,143,143,143,FC Molenbeek Brüssel,Musaba Selemani,25/05/1985,Left Winger,Retired,07/01/2016,free transfer,01/07/2011
144,144,144,144,FC Molenbeek Brüssel,Gertjan Martens,04/03/1987,Attacking Midfield,KAV Dendermonde,07/01/2019,free transfer,01/07/2018
145,145,145,145,FC Molenbeek Brüssel,Sofiane Zaaboub,23/01/1983,Left Midfield,Retired,07/01/2013,-,01/07/2012
146,146,146,146,FC Molenbeek Brüssel,Davy Theunis,28/01/1980,Right Midfield,Retired,09/17/2010,free transfer,01/07/2010
147,147,147,147,FC Molenbeek Brüssel,Werry Sels,19/02/1974,Right Midfield,Retired,,free transfer,01/07/2007
148,148,148,148,FC Molenbeek Brüssel,Kristoffer Andersen,09/12/1985,Central Midfield,Retired,07/01/2019,-,04/09/2013
149,149,149,149,FC Molenbeek Brüssel,Fabrice Omonga Djadi,06/02/1984,Central Midfield,Retired,,free transfer,01/07/2011
150,150,150,150,FC Molenbeek Brüssel,Julien Gorius,17/03/1985,Central Midfield,Retired,,-,01/07/2017
151,151,151,151,FC Molenbeek Brüssel,Alan Haydock,13/01/1976,Defensive Midfield,Retired,,?,01/07/2010
152,152,152,152,FC Molenbeek Brüssel,Mario Espartero,17/01/1978,Defensive Midfield,Retired,,-,01/01/2009
153,153,153,153,FC Molenbeek Brüssel,Richard Culek,01/04/1974,Defensive Midfield,Retired,07/01/2014,free transfer,01/07/2010
154,154,154,154,FC Molenbeek Brüssel,Ibrahim Kargbo,10/04/1982,Defensive Midfield,Retired,04/24/2019,free transfer,01/07/2016
155,155,155,155,FC Molenbeek Brüssel,Patricio Bengui,10/11/1986,Right-Back,Retired,07/01/2019,free transfer,01/07/2017
156,156,156,156,FC Molenbeek Brüssel,Christ Bruno,08/04/1977,Left-Back,Retired,07/01/2014,free transfer,31/01/2012
157,157,157,157,FC Molenbeek Brüssel,Cédric Dellevoet,10/12/1987,Centre-Back,SK Londerzeel,07/01/2011,free transfer,01/07/2009
158,158,158,158,FC Molenbeek Brüssel,Michael Jonckheere,01/09/1987,Centre-Back,RFC Genappe,07/01/2022,free transfer,01/07/2020
159,159,159,159,FC Molenbeek Brüssel,Alexandre Clément,23/03/1975,Centre-Back,Retired,,free transfer,01/07/2005
160,160,160,160,FC Molenbeek Brüssel,Zoltán Pető,19/09/1974,Centre-Back,Retired,07/01/2014,free transfer,01/08/2011
161,161,161,161,FC Molenbeek Brüssel,Steve Colpaert,13/09/1986,Centre-Back,Retired,07/01/2021,free transfer,01/07/2020
162,162,162,162,FC Molenbeek Brüssel,Istvan Dudas,02/08/1973,Goalkeeper,Retired,07/01/2008,free transfer,01/07/2006
163,163,163,163,FC Molenbeek Brüssel,Isa Izgi,01/09/1984,Goalkeeper,Retired,,free transfer,01/07/2010
164,164,164,164,FC Molenbeek Brüssel,Patrick Nys,25/01/1969,Goalkeeper,Retired,,free transfer,01/07/2003
165,165,165,165,Excelsior Mouscron (- 2009),Ermin Siljak,11/05/1973,Centre-Forward,Retired,,free transfer,01/01/2005
166,166,166,166,Excelsior Mouscron (- 2009),Ricardo Magro,03/09/1982,Centre-Forward,Retired,,free transfer,01/07/2013
167,167,167,167,Excelsior Mouscron (- 2009),Patrick Dimbala,20/09/1982,Centre-Forward,Retired,,?,01/07/2016
168,168,168,168,Excelsior Mouscron (- 2009),Tailson,29/11/1975,Centre-Forward,Retired,07/01/2010,?,01/01/2010
169,169,169,169,Excelsior Mouscron (- 2009),Marcin Zewlakow,22/04/1976,Centre-Forward,Retired,02/26/2013,free transfer,01/07/2012
170,170,170,170,Excelsior Mouscron (- 2009),Adnan Custovic,16/04/1978,Right Winger,Retired,07/01/2014,?,10/07/2012
171,171,171,171,Excelsior Mouscron (- 2009),Yassine Benajiba,01/11/1984,Attacking Midfield,Retired,,free transfer,01/07/2013
172,172,172,172,Excelsior Mouscron (- 2009),Jean Félix Dorothée,02/10/1981,Right Midfield,Retired,,-,01/07/2009
173,173,173,173,Excelsior Mouscron (- 2009),Karim Fellahi,31/01/1974,Right Midfield,Retired,,free transfer,01/07/2009
174,174,174,174,Excelsior Mouscron (- 2009),Patrice Noukeu,22/11/1982,Central Midfield,Retired,,free transfer,01/07/2013
175,175,175,175,Excelsior Mouscron (- 2009),Paco Sanchez,16/05/1986,Central Midfield,Retired,07/01/2014,-,01/01/2014
176,176,176,176,Excelsior Mouscron (- 2009),Steve Dugardein,28/01/1974,Defensive Midfield,Retired,07/01/2012,-,01/08/2009
177,177,177,177,Excelsior Mouscron (- 2009),Geoffray Toyes,18/05/1973,Right-Back,Retired,11/04/2009,free transfer,01/07/2008
178,178,178,178,Excelsior Mouscron (- 2009),Romain Haghedooren,28/09/1986,Left-Back,Retired,,free transfer,01/07/2019
179,179,179,179,Excelsior Mouscron (- 2009),Giba,05/06/1984,Left-Back,Retired,,free transfer,01/01/2010
180,180,180,180,Excelsior Mouscron (- 2009),David Grondin,08/05/1980,Left-Back,Retired,07/01/2013,-,01/10/2011
181,181,181,181,Excelsior Mouscron (- 2009),Mustapha Oussalah,19/02/1982,Left-Back,Retired,07/01/2019,-,19/09/2018
182,182,182,182,Excelsior Mouscron (- 2009),Suad Filekovic,16/09/1978,Left-Back,Retired,07/01/2015,free transfer,23/08/2013
183,183,183,183,Excelsior Mouscron (- 2009),Benjamin Delacourt,10/03/1985,Centre-Back,Tourcoing FC,07/01/2021,free transfer,31/08/2020
184,184,184,184,Excelsior Mouscron (- 2009),Stjepan Skocibusic,10/06/1979,Centre-Back,Retired,,free transfer,27/03/2009
185,185,185,185,Excelsior Mouscron (- 2009),Olivier Besengez,19/09/1971,Centre-Back,Retired,07/01/2007,-,01/07/1990
186,186,186,186,Excelsior Mouscron (- 2009),Sébastien Grimaldi,10/09/1979,Centre-Back,Retired,,free transfer,01/07/2008
187,187,187,187,Excelsior Mouscron (- 2009),Jean-Philippe Charlet,12/01/1982,Centre-Back,Retired,07/01/2013,free transfer,01/07/2012
188,188,188,188,Excelsior Mouscron (- 2009),Kevin Hatchi,06/08/1981,Centre-Back,Retired,07/01/2016,free transfer,01/07/2015
189,189,189,189,Excelsior Mouscron (- 2009),Daan Van Gijseghem,02/03/1988,Centre-Back,Without Club,07/01/2020,free transfer,01/07/2016
190,190,190,190,Excelsior Mouscron (- 2009),Christophe Martin,21/02/1975,Goalkeeper,Retired,07/01/2016,free transfer,01/07/2008
191,191,191,191,Excelsior Mouscron (- 2009),Patrice Luzi,08/07/1980,Goalkeeper,Retired,,free transfer,01/07/2007
192,192,192,192,RSC Charleroi,Giovanni Cacciatore,19/09/1985,Centre-Forward,Unknown,,-,01/01/2010
193,193,193,193,RSC Charleroi,Steeve Théophile,09/09/1980,Centre-Forward,Retired,,free transfer,01/07/2008
194,194,194,194,RSC Charleroi,Joseph Akpala,24/08/1986,Centre-Forward,Retired,07/01/2021,free transfer,06/04/2021
195,195,195,195,RSC Charleroi,Izzet Akgül,28/01/1982,Centre-Forward,Retired,07/01/2018,free transfer,01/07/2017
196,196,196,196,RSC Charleroi,François Sterchele,14/03/1982,Centre-Forward,,,€750Th.,01/07/2006
197,197,197,197,RSC Charleroi,Toni Brogno,19/07/1973,Second Striker,Retired,07/01/2009,free transfer,06/08/2008
198,198,198,198,RSC Charleroi,Sergiy Serebrennikov,01/09/1976,Right Winger,Retired,07/01/2014,free transfer,01/07/2011
199,199,199,199,RSC Charleroi,Ousmane Bangoura,01/12/1979,attack,Retired,07/01/2006,free transfer,01/01/2006
200,200,200,200,RSC Charleroi,Orlando,26/02/1981,attack,Retired,12/01/2015,-,01/01/2013
201,201,201,201,RSC Charleroi,Fabien Camus,28/02/1985,Attacking Midfield,Retired,07/01/2019,?,20/12/2018
202,202,202,202,RSC Charleroi,Nasredine Kraouche,27/08/1979,Attacking Midfield,Retired,07/01/2008,?,01/07/2007
203,203,203,203,RSC Charleroi,Grégory Christ,04/10/1982,Left Midfield,CO Trivières,07/01/2022,free transfer,01/07/2020
204,204,204,204,RSC Charleroi,Thibaut Detal,01/01/1985,Central Midfield,Assesse,07/01/2014,-,25/01/2014
205,205,205,205,RSC Charleroi,Gérald Forschelet,19/09/1981,Defensive Midfield,Retired,,?,01/07/2010
206,206,206,206,RSC Charleroi,Sebastien Chabaud,09/03/1977,Defensive Midfield,Retired,,?,01/07/2008
207,207,207,207,RSC Charleroi,Abdelmajid Oulmers,12/09/1978,midfield,Retired,07/01/2012,-,01/01/2012
208,208,208,208,RSC Charleroi,Frank Defays,23/02/1974,Right-Back,Retired,07/01/2010,free transfer,01/07/2009
209,209,209,209,RSC Charleroi,Velimir Varga,26/01/1980,Left-Back,Retired,07/01/2014,-,01/01/2014
210,210,210,210,RSC Charleroi,Loris Reina,10/06/1980,Left-Back,Retired,,?,01/07/2009
211,211,211,211,RSC Charleroi,Thierry Siquet,18/10/1968,Centre-Back,Retired,,?,01/07/2004
212,212,212,212,RSC Charleroi,Márcio Giovanini,17/10/1978,Centre-Back,Retired,,-,01/01/2011
213,213,213,213,RSC Charleroi,Dante,18/10/1983,Centre-Back,OGC Nice,08/23/2016,€4.50m,30/08/2015
214,214,214,214,RSC Charleroi,Rémi Ribault,06/01/1985,Centre-Back,Retired,,free transfer,01/07/2007
215,215,215,215,RSC Charleroi,Laurent Ciman,05/08/1985,Centre-Back,Retired,01/01/2021,free transfer,01/01/2019
