,Unnamed: 0,teams,playerprofile,birthdate,position,retiredOrNot,retirementDate,lastTransferFee,lastTransferDate
56,56,RAA La Louviere (- 2009),Alexandre Lecomte,06/22/1980,Centre-Forward,Unknown,,?,07/01/2013
57,57,RAA La Louviere (- 2009),Sergio Sánchez,02/05/1973,Centre-Forward,Retired,,?,07/01/2008
58,58,RAA La Louviere (- 2009),Nordin Jbari,02/05/1975,Centre-Forward,Retired,,-,01/01/2007
59,59,RAA La Louviere (- 2009),Youssef Sofiane,07/08/1984,Centre-Forward,Retired,,?,01/01/2012
60,60,RAA La Louviere (- 2009),Aco Stojkov,04/29/1983,Left Winger,Without Club,,free transfer,07/01/2019
61,61,RAA La Louviere (- 2009),Benoît Ladrière,04/27/1987,Attacking Midfield,RCS Braine,08/28/2020,free transfer,07/01/2019
62,62,RAA La Louviere (- 2009),Benjamin,06/28/1978,Attacking Midfield,Retired,,free transfer,07/01/2012
63,63,RAA La Louviere (- 2009),Julien Pinelli,01/27/1987,Left Midfield,RC Villers,07/01/2019,free transfer,07/01/2016
64,64,RAA La Louviere (- 2009),Jaroslaw Mazurkiewicz,11/13/1979,Right Midfield,Retired,01/01/2013,free transfer,07/01/2011
65,65,RAA La Louviere (- 2009),Fadhil Mohamed Brahami,04/14/1979,Right Midfield,Retired,07/01/2013,?,01/01/2013
66,66,RAA La Louviere (- 2009),Bob Cousin,11/04/1981,Central Midfield,Retired,07/01/2015,?,07/01/2013
67,67,RAA La Louviere (- 2009),Trésor Luntala,05/31/1982,Defensive Midfield,Retired,01/01/2022,-,07/01/2012
68,68,RAA La Louviere (- 2009),Jules Oulaï,07/30/1986,Defensive Midfield,Retired,,End of loan,06/30/2010
69,69,RAA La Louviere (- 2009),Egutu Oliseh,11/18/1980,Defensive Midfield,Retired,,free transfer,01/01/2017
70,70,RAA La Louviere (- 2009),Blaise N'Goma,06/03/1985,,Retired,,free transfer,07/01/2016
71,71,RAA La Louviere (- 2009),Geraldo Sprio,01/16/1987,midfield,Retired,07/01/2015,?,07/01/2012
72,72,RAA La Louviere (- 2009),Alexandre Potier,05/14/1986,midfield,AS Fontainoise,07/01/2017,?,07/01/2013
73,73,RAA La Louviere (- 2009),Fritz Emeran,03/28/1976,Right-Back,Retired,,free transfer,07/01/2010
74,74,RAA La Louviere (- 2009),Martin Ekani,04/21/1984,Right-Back,Retired,07/01/2022,free transfer,07/01/2020
75,75,RAA La Louviere (- 2009),Olivier Guilmot,07/12/1979,Right-Back,Retired,,?,07/01/2013
76,76,RAA La Louviere (- 2009),George Blay,08/07/1980,Right-Back,Retired,,free transfer,08/26/2011
77,77,RAA La Louviere (- 2009),Dimitri Leurquin,04/03/1985,Left-Back,Retired,,?,07/01/2013
78,78,RAA La Louviere (- 2009),Laurent Montoya,09/28/1980,Left-Back,Retired,,-,07/01/2008
79,79,RAA La Louviere (- 2009),Yannick Vervalle,06/03/1981,Left-Back,KV Zuun,08/31/2018,-,07/01/2017
80,80,RAA La Louviere (- 2009),Quantin Durieux,01/28/1985,Centre-Back,Without Club,07/01/2019,?,07/01/2013
81,81,RAA La Louviere (- 2009),Alexandre Teklak,08/16/1975,Centre-Back,Retired,07/01/2012,free transfer,01/01/2010
82,82,RAA La Louviere (- 2009),Benoit Daniel,08/19/1986,Goalkeeper,Retired,07/01/2019,free transfer,07/01/2015
83,83,RAA La Louviere (- 2009),Asmir Begovic,06/20/1987,Goalkeeper,Everton,07/20/2021,End of loan,08/31/2020
84,84,RAA La Louviere (- 2009),Michaël Cordier,03/27/1984,Goalkeeper,FC Havré,07/01/2020,free transfer,07/01/2018
85,85,Cercle Brugge,Ibad Muhamadu,02/22/1982,Centre-Forward,Retired,07/01/2013,free transfer,07/01/2011
86,86,Cercle Brugge,Paulus Roiha,08/03/1980,Centre-Forward,Retired,01/01/2012,-,07/01/2011
87,87,Cercle Brugge,Dieter Dekelver,08/17/1979,Centre-Forward,Retired,08/05/2013,free transfer,07/01/2012
88,88,Cercle Brugge,Darko Pivaljevic,02/18/1975,Centre-Forward,Retired,07/01/2014,-,09/06/2013
89,89,Cercle Brugge,Brian Pinas,12/29/1978,Left Winger,Retired,,free transfer,07/01/2010
90,90,Cercle Brugge,Keith Barker,10/21/1986,attack,Retired,,free transfer,01/01/2008
91,91,Cercle Brugge,Vit Valenta,01/04/1983,Attacking Midfield,Retired,07/01/2018,?,02/21/2018
92,92,Cercle Brugge,Slobodan Slovic,02/09/1975,Attacking Midfield,Retired,,free transfer,01/01/2014
93,93,Cercle Brugge,Stijn De Smet,03/27/1985,Attacking Midfield,Retired,,free transfer,07/01/2019
94,94,Cercle Brugge,Frederik Boi,10/25/1981,Right Midfield,Retired,07/01/2018,free transfer,07/01/2017
95,95,Cercle Brugge,Matthias Feys,05/22/1985,Central Midfield,SV Diksmuide,07/01/2022,free transfer,07/01/2017
96,96,Cercle Brugge,Harold Meyssen,07/24/1971,Central Midfield,Retired,01/01/2010,free transfer,07/01/2008
97,97,Cercle Brugge,Christophe Grondin,09/02/1983,Defensive Midfield,Tournefeuille,08/19/2016,?,07/07/2015
98,98,Cercle Brugge,Milenko Milosevic,11/13/1976,Defensive Midfield,Retired,07/01/2018,free transfer,03/28/2013
99,99,Cercle Brugge,Ewout Denys,02/04/1987,midfield,Rapid Leest,07/01/2020,-,07/01/2019
100,100,Cercle Brugge,Yannick Euvrard,01/17/1986,Right-Back,KRC Waregem,07/01/2019,?,07/01/2018
101,101,Cercle Brugge,Jan Masureel,09/06/1981,Right-Back,Retired,,?,07/01/2013
102,102,Cercle Brugge,Tom Van Mol,10/12/1972,Left-Back,Retired,07/01/2010,free transfer,07/01/2008
103,103,Cercle Brugge,Bram Vandenbussche,02/01/1981,Centre-Back,SK Eernegem,07/01/2020,free transfer,07/01/2014
104,104,Cercle Brugge,Anthony Portier,06/01/1982,Centre-Back,Retired,12/17/2017,free transfer,08/01/2016
105,105,Cercle Brugge,Jimmy De Wulf,06/09/1980,Centre-Back,Retired,07/01/2013,?,07/01/2012
106,106,Cercle Brugge,Djordje Svetlicic,01/05/1974,Centre-Back,Retired,,free transfer,07/01/2008
107,107,Cercle Brugge,Denis Viane,10/02/1977,Centre-Back,Retired,03/15/2012,free transfer,08/31/2011
108,108,Cercle Brugge,Luke Jones,04/10/1987,Centre-Back,Without Club,,free transfer,05/25/2018
109,109,Cercle Brugge,Glenn Carton,03/26/1984,,Retired,-,?,01/01/2006
110,110,Cercle Brugge,Rubin Dantschotter,02/18/1986,Goalkeeper,Retired,,free transfer,07/01/2013
111,111,Cercle Brugge,Francky Vandendriessche,04/07/1971,Goalkeeper,Retired,07/01/2007,free transfer,07/01/2005
112,112,Sint-Truidense VV,Jurgen Rutten,02/19/1986,Centre-Forward,Retired,07/01/2014,free transfer,07/01/2012
113,113,Sint-Truidense VV,Brendon Santalab,09/09/1982,Centre-Forward,Without Club,01/01/2020,free transfer,05/24/2019
114,114,Sint-Truidense VV,Désiré M'Bonabucya,02/25/1977,Centre-Forward,Retired,04/01/2008,?,08/07/2007
115,115,Sint-Truidense VV,Ilija Stolica,07/07/1979,Centre-Forward,Retired,,End of loan,06/30/2011
116,116,Sint-Truidense VV,Asanda Sishuba,04/13/1980,Left Winger,Retired,,free transfer,01/01/2008
117,117,Sint-Truidense VV,Tamás Hajnal,03/15/1981,Attacking Midfield,Retired,07/01/2018,-,12/12/2014
118,118,Sint-Truidense VV,Marco Nijs,09/11/1979,Left Midfield,Retired,,?,07/01/2011
119,119,Sint-Truidense VV,Kris Buvens,12/30/1979,Right Midfield,Retired,07/01/2013,free transfer,07/01/2012
120,120,Sint-Truidense VV,Niels Prud´homme,06/15/1986,Central Midfield,Without Club,,free transfer,07/01/2014
121,121,Sint-Truidense VV,Dimitri De Condé,01/07/1975,Central Midfield,Retired,07/01/2011,free transfer,01/01/2011
122,122,Sint-Truidense VV,Jari Niemi,02/02/1977,Central Midfield,Retired,01/01/2013,?,08/01/2011
123,123,Sint-Truidense VV,Jonas Bogaerts,03/06/1987,Defensive Midfield,KVK Tienen,07/01/2018,free transfer,07/01/2016
124,124,Sint-Truidense VV,Kristof Delorge,02/26/1986,Defensive Midfield,,,free transfer,07/01/2008
125,125,Sint-Truidense VV,Peter Delorge,04/19/1980,Defensive Midfield,Retired,07/01/2015,free transfer,07/01/2013
126,126,Sint-Truidense VV,Sander Debroux,09/23/1982,midfield,Retired,07/01/2014,free transfer,02/02/2011
127,127,Sint-Truidense VV,Cyril Ramond,02/12/1980,Left-Back,Retired,,free transfer,07/01/2013
128,128,Sint-Truidense VV,Landry Mulemo,09/17/1986,Left-Back,Retired,,-,01/27/2020
129,129,Sint-Truidense VV,Christopher Baratto,12/04/1984,Centre-Back,Retired,,free transfer,07/01/2013
130,130,Sint-Truidense VV,Egon Wisniowski,02/19/1985,Centre-Back,Retired,,free transfer,07/01/2015
131,131,Sint-Truidense VV,Kristof Lardenoit,07/08/1983,Centre-Back,Retired,07/01/2014,free transfer,07/01/2013
132,132,Sint-Truidense VV,Jeroen Simaeys,05/12/1985,Centre-Back,Retired,07/01/2017,free transfer,07/03/2016
133,133,Sint-Truidense VV,Nicky Hayen,08/16/1980,Centre-Back,Retired,07/01/2014,?,07/01/2013
134,134,Sint-Truidense VV,David Van Hoyweghen,03/20/1976,Centre-Back,Retired,,free transfer,01/01/2012
135,135,Sint-Truidense VV,Simon Mignolet,03/06/1988,Goalkeeper,Club Brugge,08/05/2019,€10.60m,07/01/2013
136,136,Sint-Truidense VV,Frank Boeckx,09/27/1986,Goalkeeper,Retired,,free transfer,08/31/2015
137,137,Sint-Truidense VV,Dusan Belic,03/29/1971,Goalkeeper,Retired,01/01/2007,free transfer,01/01/2006
138,138,Sint-Truidense VV,Bart Deelkens,04/25/1978,Goalkeeper,Retired,07/01/2018,?,07/01/2016
139,139,FC Molenbeek Brüssel,Moussa Sanogo,07/16/1983,Centre-Forward,Retired,07/01/2018,-,07/09/2017
140,140,FC Molenbeek Brüssel,Igor de Camargo,05/12/1983,Centre-Forward,Without Club,07/01/2022,?,01/18/2022
141,141,FC Molenbeek Brüssel,Kristof Snelders,09/05/1982,Second Striker,Retired,07/01/2016,free transfer,07/01/2013
142,142,FC Molenbeek Brüssel,Mickael Nicoise,09/19/1984,Right Winger,Retired,,?,07/01/2018
143,143,FC Molenbeek Brüssel,Musaba Selemani,05/25/1985,Left Winger,Retired,07/01/2016,free transfer,07/01/2011
144,144,FC Molenbeek Brüssel,Gertjan Martens,03/04/1987,Attacking Midfield,KAV Dendermonde,07/01/2019,free transfer,07/01/2018
145,145,FC Molenbeek Brüssel,Sofiane Zaaboub,01/23/1983,Left Midfield,Retired,07/01/2013,-,07/01/2012
146,146,FC Molenbeek Brüssel,Davy Theunis,01/28/1980,Right Midfield,Retired,09/17/2010,free transfer,07/01/2010
147,147,FC Molenbeek Brüssel,Werry Sels,02/19/1974,Right Midfield,Retired,,free transfer,07/01/2007
148,148,FC Molenbeek Brüssel,Kristoffer Andersen,12/09/1985,Central Midfield,Retired,07/01/2019,-,09/04/2013
149,149,FC Molenbeek Brüssel,Fabrice Omonga Djadi,02/06/1984,Central Midfield,Retired,,free transfer,07/01/2011
150,150,FC Molenbeek Brüssel,Julien Gorius,03/17/1985,Central Midfield,Retired,,-,07/01/2017
151,151,FC Molenbeek Brüssel,Alan Haydock,01/13/1976,Defensive Midfield,Retired,,?,07/01/2010
152,152,FC Molenbeek Brüssel,Mario Espartero,01/17/1978,Defensive Midfield,Retired,,-,01/01/2009
153,153,FC Molenbeek Brüssel,Richard Culek,04/01/1974,Defensive Midfield,Retired,07/01/2014,free transfer,07/01/2010
154,154,FC Molenbeek Brüssel,Ibrahim Kargbo,04/10/1982,Defensive Midfield,Retired,04/24/2019,free transfer,07/01/2016
155,155,FC Molenbeek Brüssel,Patricio Bengui,11/10/1986,Right-Back,Retired,07/01/2019,free transfer,07/01/2017
156,156,FC Molenbeek Brüssel,Christ Bruno,04/08/1977,Left-Back,Retired,07/01/2014,free transfer,01/31/2012
157,157,FC Molenbeek Brüssel,Cédric Dellevoet,12/10/1987,Centre-Back,SK Londerzeel,07/01/2011,free transfer,07/01/2009
158,158,FC Molenbeek Brüssel,Michael Jonckheere,09/01/1987,Centre-Back,RFC Genappe,07/01/2022,free transfer,07/01/2020
159,159,FC Molenbeek Brüssel,Alexandre Clément,03/23/1975,Centre-Back,Retired,,free transfer,07/01/2005
160,160,FC Molenbeek Brüssel,Zoltán Pető,09/19/1974,Centre-Back,Retired,07/01/2014,free transfer,08/01/2011
161,161,FC Molenbeek Brüssel,Steve Colpaert,09/13/1986,Centre-Back,Retired,07/01/2021,free transfer,07/01/2020
162,162,FC Molenbeek Brüssel,Istvan Dudas,08/02/1973,Goalkeeper,Retired,07/01/2008,free transfer,07/01/2006
163,163,FC Molenbeek Brüssel,Isa Izgi,09/01/1984,Goalkeeper,Retired,,free transfer,07/01/2010
164,164,FC Molenbeek Brüssel,Patrick Nys,01/25/1969,Goalkeeper,Retired,,free transfer,07/01/2003
165,165,Excelsior Mouscron (- 2009),Ermin Siljak,05/11/1973,Centre-Forward,Retired,,free transfer,01/01/2005
166,166,Excelsior Mouscron (- 2009),Ricardo Magro,09/03/1982,Centre-Forward,Retired,,free transfer,07/01/2013
167,167,Excelsior Mouscron (- 2009),Patrick Dimbala,09/20/1982,Centre-Forward,Retired,,?,07/01/2016
168,168,Excelsior Mouscron (- 2009),Tailson,11/29/1975,Centre-Forward,Retired,07/01/2010,?,01/01/2010
169,169,Excelsior Mouscron (- 2009),Marcin Zewlakow,04/22/1976,Centre-Forward,Retired,02/26/2013,free transfer,07/01/2012
170,170,Excelsior Mouscron (- 2009),Adnan Custovic,04/16/1978,Right Winger,Retired,07/01/2014,?,07/10/2012
171,171,Excelsior Mouscron (- 2009),Yassine Benajiba,11/01/1984,Attacking Midfield,Retired,,free transfer,07/01/2013
172,172,Excelsior Mouscron (- 2009),Jean Félix Dorothée,10/02/1981,Right Midfield,Retired,,-,07/01/2009
173,173,Excelsior Mouscron (- 2009),Karim Fellahi,01/31/1974,Right Midfield,Retired,,free transfer,07/01/2009
174,174,Excelsior Mouscron (- 2009),Patrice Noukeu,11/22/1982,Central Midfield,Retired,,free transfer,07/01/2013
175,175,Excelsior Mouscron (- 2009),Paco Sanchez,05/16/1986,Central Midfield,Retired,07/01/2014,-,01/01/2014
176,176,Excelsior Mouscron (- 2009),Steve Dugardein,01/28/1974,Defensive Midfield,Retired,07/01/2012,-,08/01/2009
177,177,Excelsior Mouscron (- 2009),Geoffray Toyes,05/18/1973,Right-Back,Retired,11/04/2009,free transfer,07/01/2008
178,178,Excelsior Mouscron (- 2009),Romain Haghedooren,09/28/1986,Left-Back,Retired,,free transfer,07/01/2019
179,179,Excelsior Mouscron (- 2009),Giba,06/05/1984,Left-Back,Retired,,free transfer,01/01/2010
180,180,Excelsior Mouscron (- 2009),David Grondin,05/08/1980,Left-Back,Retired,07/01/2013,-,10/01/2011
181,181,Excelsior Mouscron (- 2009),Mustapha Oussalah,02/19/1982,Left-Back,Retired,07/01/2019,-,09/19/2018
182,182,Excelsior Mouscron (- 2009),Suad Filekovic,09/16/1978,Left-Back,Retired,07/01/2015,free transfer,08/23/2013
183,183,Excelsior Mouscron (- 2009),Benjamin Delacourt,03/10/1985,Centre-Back,Tourcoing FC,07/01/2021,free transfer,08/31/2020
184,184,Excelsior Mouscron (- 2009),Stjepan Skocibusic,06/10/1979,Centre-Back,Retired,,free transfer,03/27/2009
185,185,Excelsior Mouscron (- 2009),Olivier Besengez,09/19/1971,Centre-Back,Retired,07/01/2007,-,07/01/1990
186,186,Excelsior Mouscron (- 2009),Sébastien Grimaldi,09/10/1979,Centre-Back,Retired,,free transfer,07/01/2008
187,187,Excelsior Mouscron (- 2009),Jean-Philippe Charlet,01/12/1982,Centre-Back,Retired,07/01/2013,free transfer,07/01/2012
188,188,Excelsior Mouscron (- 2009),Kevin Hatchi,08/06/1981,Centre-Back,Retired,07/01/2016,free transfer,07/01/2015
189,189,Excelsior Mouscron (- 2009),Daan Van Gijseghem,03/02/1988,Centre-Back,Without Club,07/01/2020,free transfer,07/01/2016
190,190,Excelsior Mouscron (- 2009),Christophe Martin,02/21/1975,Goalkeeper,Retired,07/01/2016,free transfer,07/01/2008
191,191,Excelsior Mouscron (- 2009),Patrice Luzi,07/08/1980,Goalkeeper,Retired,,free transfer,07/01/2007
192,192,RSC Charleroi,Giovanni Cacciatore,09/19/1985,Centre-Forward,Unknown,,-,01/01/2010
193,193,RSC Charleroi,Steeve Théophile,09/09/1980,Centre-Forward,Retired,,free transfer,07/01/2008
194,194,RSC Charleroi,Joseph Akpala,08/24/1986,Centre-Forward,Retired,07/01/2021,free transfer,04/06/2021
195,195,RSC Charleroi,Izzet Akgül,01/28/1982,Centre-Forward,Retired,07/01/2018,free transfer,07/01/2017
196,196,RSC Charleroi,François Sterchele,03/14/1982,Centre-Forward,,,€750Th.,07/01/2006
197,197,RSC Charleroi,Toni Brogno,07/19/1973,Second Striker,Retired,07/01/2009,free transfer,08/06/2008
198,198,RSC Charleroi,Sergiy Serebrennikov,09/01/1976,Right Winger,Retired,07/01/2014,free transfer,07/01/2011
199,199,RSC Charleroi,Ousmane Bangoura,12/01/1979,attack,Retired,07/01/2006,free transfer,01/01/2006
200,200,RSC Charleroi,Orlando,02/26/1981,attack,Retired,12/01/2015,-,01/01/2013
201,201,RSC Charleroi,Fabien Camus,02/28/1985,Attacking Midfield,Retired,07/01/2019,?,12/20/2018
202,202,RSC Charleroi,Nasredine Kraouche,08/27/1979,Attacking Midfield,Retired,07/01/2008,?,07/01/2007
203,203,RSC Charleroi,Grégory Christ,10/04/1982,Left Midfield,CO Trivières,07/01/2022,free transfer,07/01/2020
204,204,RSC Charleroi,Thibaut Detal,01/01/1985,Central Midfield,Assesse,07/01/2014,-,01/25/2014
205,205,RSC Charleroi,Gérald Forschelet,09/19/1981,Defensive Midfield,Retired,,?,07/01/2010
206,206,RSC Charleroi,Sebastien Chabaud,03/09/1977,Defensive Midfield,Retired,,?,07/01/2008
207,207,RSC Charleroi,Abdelmajid Oulmers,09/12/1978,midfield,Retired,07/01/2012,-,01/01/2012
208,208,RSC Charleroi,Frank Defays,02/23/1974,Right-Back,Retired,07/01/2010,free transfer,07/01/2009
209,209,RSC Charleroi,Velimir Varga,01/26/1980,Left-Back,Retired,07/01/2014,-,01/01/2014
210,210,RSC Charleroi,Loris Reina,06/10/1980,Left-Back,Retired,,?,07/01/2009
211,211,RSC Charleroi,Thierry Siquet,10/18/1968,Centre-Back,Retired,,?,07/01/2004
212,212,RSC Charleroi,Márcio Giovanini,10/17/1978,Centre-Back,Retired,,-,01/01/2011
213,213,RSC Charleroi,Dante,10/18/1983,Centre-Back,OGC Nice,08/23/2016,€4.50m,08/30/2015
214,214,RSC Charleroi,Rémi Ribault,01/06/1985,Centre-Back,Retired,,free transfer,07/01/2007
215,215,RSC Charleroi,Laurent Ciman,08/05/1985,Centre-Back,Retired,01/01/2021,free transfer,01/01/2019
216,216,RSC Charleroi,Mahamoudou Kéré,01/02/1982,Centre-Back,Retired,07/01/2015,?,07/01/2014
217,217,RSC Charleroi,Fabian Cremers,10/25/1987,Goalkeeper,Retired,,free transfer,07/01/2019
218,218,RSC Charleroi,Damien Lahaye,01/30/1984,Goalkeeper,RUS Binche,07/01/2022,free transfer,07/01/2021
219,219,RSC Charleroi,Bertrand Laquait,04/13/1977,Goalkeeper,Retired,07/02/2015,free transfer,08/27/2014
220,220,Lierse SK (- 2018),Kane Develer,07/21/1988,Centre-Forward,Unknown,,?,07/01/2012
221,221,Lierse SK (- 2018),Paulista,03/06/1979,Centre-Forward,Retired,,free transfer,01/01/2012
222,222,Lierse SK (- 2018),Dragan Mrdja,01/23/1984,Centre-Forward,Retired,04/02/2018,?,02/10/2018
223,223,Lierse SK (- 2018),Goran Tomic,03/18/1977,Centre-Forward,Retired,07/01/2007,free transfer,01/01/2006
224,224,Lierse SK (- 2018),Alessandro,03/02/1982,Centre-Forward,Retired,,?,08/28/2014
225,225,Lierse SK (- 2018),Krunoslav Lovrek,09/11/1979,Centre-Forward,Tehnicar 1974,07/29/2016,?,02/09/2016
226,226,Lierse SK (- 2018),Tony Vairelles,04/10/1973,Centre-Forward,Retired,07/01/2011,free transfer,07/01/2009
227,227,Lierse SK (- 2018),Mohammed El Berkani,12/13/1982,Right Winger,Retired,,?,01/17/2013
228,228,Lierse SK (- 2018),Jurgen Raeymaeckers,05/03/1985,Right Winger,Greunsj. Vossem,07/01/2017,?,07/01/2015
229,229,Lierse SK (- 2018),Goran Mujanovic,09/29/1983,Right Winger,Trnje Trnovec,08/14/2017,free transfer,08/08/2016
230,230,Lierse SK (- 2018),Oleksandr Yakovenko,07/23/1987,Left Winger,Retired,,-,07/01/2016
