position,lastTransferFee,retirementAge,gamesPlayedLastYear,gamesPlayedLast2Year,gamesPlayedLast3Year,injurysLast3Year
Attacking Midfield,free transfer,34,32,24,27,0
Left Midfield,free transfer,37,5,26,16,0
Right Midfield,free transfer,37,7,45,13,0
Central Midfield,free transfer,34,14,26,29,2
Defensive Midfield,free transfer,31,16,10,20,0
Left-Back,free transfer,35,5,25,30,0
Centre-Back,free transfer,32,19,18,16,0
Centre-Back,free transfer,35,16,3,21,0
Centre-Back,free transfer,38,1,15,27,0
Defender,free transfer,30,15,18,4,0
Goalkeeper,free transfer,40,11,10,3,0
Centre-Forward,free transfer,35,13,17,11,2
Centre-Forward,free transfer,36,26,10,27,0
Left Winger,free transfer,34,6,2,33,0
Right-Back,free transfer,37,16,25,16,1
Right-Back,free transfer,35,7,17,28,0
Right-Back,free transfer,34,1,9,33,1
Right-Back,free transfer,36,21,24,23,0
Left-Back,free transfer,38,25,12,29,0
Right Midfield,free transfer,38,8,1,6,0
Central Midfield,free transfer,34,23,27,28,0
Central Midfield,free transfer,36,8,26,24,0
Central Midfield,free transfer,36,21,11,23,2
Centre-Back,free transfer,33,1,14,40,1
Centre-Back,free transfer,39,18,26,24,0
Centre-Back,free transfer,38,6,10,2,2
Centre-Back,free transfer,37,24,32,27,1
Central Midfield,free transfer,34,21,12,1,1
Defensive Midfield,free transfer,35,3,0,25,0
Defensive Midfield,free transfer,37,25,24,32,0
Left-Back,free transfer,32,11,22,37,5
Centre-Back,free transfer,35,37,36,6,0
Centre-Back,free transfer,36,0,9,26,0
Centre-Back,free transfer,34,8,34,19,0
Defensive Midfield,free transfer,35,13,24,17,4
Right-Back,free transfer,33,12,31,28,0
Right-Back,free transfer,37,22,20,38,0
Goalkeeper,free transfer,40,8,6,39,2
Right Midfield,free transfer,39,7,9,32,3
Central Midfield,free transfer,35,34,13,27,1
Central Midfield,free transfer,34,11,24,19,1
Central Midfield,free transfer,35,23,25,32,2
Defensive Midfield,free transfer,36,8,13,13,2
Defensive Midfield,free transfer,37,5,27,32,10
Left-Back,free transfer,38,18,29,30,0
Centre-Back,free transfer,37,13,30,36,0
Centre-Back,free transfer,33,12,24,9,1
Attacking Midfield,free transfer,40,18,32,35,0
Central Midfield,free transfer,36,14,1,2,0
Defensive Midfield,free transfer,35,27,36,37,1
midfield,free transfer,36,19,23,15,0
Left-Back,free transfer,33,16,30,35,6
Centre-Back,free transfer,36,6,12,21,0
Centre-Back,free transfer,33,5,14,43,7
Centre-Back,free transfer,34,0,1,18,0
Goalkeeper,free transfer,40,4,38,34,0
Central Midfield,free transfer,38,14,34,33,0
Right-Back,free transfer,34,38,34,20,0
Right-Back,free transfer,33,10,11,28,0
Right-Back,free transfer,33,1,1,2,0
Right-Back,free transfer,39,32,38,48,2
Left-Back,free transfer,38,31,28,29,0
Centre-Back,free transfer,30,20,23,40,0
Centre-Back,free transfer,37,25,28,21,0
Goalkeeper,free transfer,37,28,7,34,0
Centre-Forward,free transfer,34,13,12,22,2
Centre-Forward,free transfer,36,15,30,46,0
Attacking Midfield,free transfer,32,6,13,7,2
Right Midfield,free transfer,35,8,25,39,0
Left Winger,free transfer,37,13,29,31,0
Left Winger,free transfer,37,1,11,13,0
Central Midfield,free transfer,38,1,9,12,0
Central Midfield,free transfer,33,10,18,31,0
Central Midfield,free transfer,38,25,22,29,0
Defensive Midfield,free transfer,35,5,9,21,0
Right-Back,free transfer,37,15,25,31,0
Left-Back,free transfer,37,16,29,9,1
Centre-Back,free transfer,34,6,24,19,0
Centre-Back,free transfer,34,2,15,34,1
Goalkeeper,free transfer,36,11,1,10,0
Right Winger,free transfer,35,14,18,14,2
Attacking Midfield,free transfer,28,1,1,8,0
Second Striker,free transfer,37,12,34,31,1
Centre-Back,free transfer,39,2,1,15,1
Goalkeeper,free transfer,37,6,2,8,0
Goalkeeper,free transfer,40,4,22,21,0
Right Winger,free transfer,36,1,4,11,0
Right Winger,free transfer,36,9,31,40,0
Right Winger,free transfer,32,3,16,23,0
Right Winger,free transfer,37,4,12,27,0
Defensive Midfield,free transfer,38,1,14,24,0
Defensive Midfield,free transfer,35,18,10,27,0
Right-Back,free transfer,32,2,21,33,0
Right-Back,free transfer,36,3,7,44,0
Left-Back,free transfer,35,2,20,22,0
Goalkeeper,free transfer,36,0,16,20,0
Centre-Forward,free transfer,33,20,24,26,1
Centre-Forward,free transfer,37,15,7,2,0
Central Midfield,End of loan,32,4,15,37,1
Central Midfield,free transfer,36,19,16,18,0
Defensive Midfield,free transfer,36,14,16,32,1
Defensive Midfield,free transfer,37,19,22,18,0
Right-Back,free transfer,33,3,8,14,0
Centre-Back,free transfer,35,13,17,31,0
Centre-Back,free transfer,36,8,18,15,4
Goalkeeper,free transfer,38,5,3,34,2
Centre-Forward,free transfer,39,23,34,38,0
Centre-Forward,free transfer,35,17,8,35,1
Centre-Forward,free transfer,36,11,11,28,4
Attacking Midfield,free transfer,36,3,21,32,0
Right Midfield,free transfer,34,2,23,34,0
Defensive Midfield,free transfer,34,36,36,36,0
Right-Back,free transfer,35,14,18,29,1
Attacking Midfield,free transfer,39,34,32,32,1
Right Midfield,free transfer,33,24,17,32,1
Central Midfield,free transfer,39,13,15,27,0
Central Midfield,free transfer,31,7,29,30,1
Defensive Midfield,free transfer,38,22,41,20,1
Left-Back,free transfer,31,9,10,9,4
Left-Back,free transfer,36,14,19,18,0
Centre-Back,free transfer,36,22,36,37,0
Centre-Back,free transfer,33,10,29,31,0
Centre-Back,free transfer,36,0,9,26,0
Left-Back,free transfer,35,18,28,22,1
Centre-Back,free transfer,33,12,13,16,2
Centre-Back,free transfer,35,10,21,31,2
Centre-Back,End of loan,33,23,5,25,0
Centre-Back,free transfer,39,33,33,27,0
Goalkeeper,free transfer,40,2,10,8,1
Attacking Midfield,free transfer,35,1,5,22,3
Right Midfield,free transfer,34,3,6,13,0
Central Midfield,free transfer,32,15,23,29,0
Central Midfield,free transfer,35,22,33,33,0
Central Midfield,free transfer,38,35,34,41,0
Defensive Midfield,free transfer,34,0,11,31,0
Defensive Midfield,free transfer,33,4,12,18,1
Right Winger,free transfer,32,26,34,34,0
Attacking Midfield,free transfer,37,23,13,38,5
Left Midfield,free transfer,34,8,20,28,0
Defensive Midfield,free transfer,36,25,12,21,3
Defensive Midfield,free transfer,39,22,20,46,0
Defensive Midfield,free transfer,33,25,34,24,0
Right-Back,free transfer,33,14,29,4,2
Left-Back,free transfer,36,33,38,25,0
Centre-Back,free transfer,33,2,13,28,3
Centre-Back,free transfer,34,1,14,19,1
Centre-Back,free transfer,38,10,25,11,0
Centre-Back,free transfer,36,3,37,30,0
Centre-Back,free transfer,36,10,16,20,2
Goalkeeper,free transfer,35,2,8,1,0
Goalkeeper,free transfer,37,3,18,30,0
Goalkeeper,free transfer,36,0,0,21,1
Centre-Forward,free transfer,32,17,35,31,3
Second Striker,free transfer,36,13,29,40,2
Centre-Forward,free transfer,35,2,18,20,1
Second Striker,free transfer,38,22,22,47,1
Attacking Midfield,free transfer,34,15,26,31,3
Central Midfield,free transfer,35,3,37,30,1
Right-Back,free transfer,34,4,9,35,3
Right-Back,free transfer,32,10,13,28,0
Goalkeeper,free transfer,39,42,31,43,1
Centre-Forward,free transfer,38,18,29,30,4
Attacking Midfield,free transfer,36,8,25,20,0
Attacking Midfield,free transfer,38,13,28,42,3
Central Midfield,free transfer,39,18,28,26,1
Defensive Midfield,free transfer,35,4,25,9,1
Defensive Midfield,free transfer,36,26,17,40,1
Left-Back,free transfer,37,20,23,36,0
Left-Back,free transfer,36,16,30,22,1
Left-Back,free transfer,35,33,38,38,0
Goalkeeper,free transfer,35,8,5,34,3
Centre-Forward,free transfer,35,25,23,27,0
Centre-Back,free transfer,33,5,15,28,3
Centre-Back,free transfer,35,5,7,14,0
Centre-Back,free transfer,35,26,28,30,0
Goalkeeper,free transfer,40,11,2,24,1
Goalkeeper,free transfer,35,0,8,6,1
Defensive Midfield,free transfer,33,23,28,27,0
Defensive Midfield,free transfer,34,7,13,10,0
Defensive Midfield,free transfer,39,22,30,32,3
Centre-Back,free transfer,34,10,13,29,3
Defensive Midfield,free transfer,34,12,33,23,0
Right-Back,free transfer,35,8,5,31,3
Left-Back,free transfer,35,10,18,12,0
Centre-Back,free transfer,33,10,21,19,2
Centre-Back,free transfer,34,19,26,33,0
Centre-Forward,free transfer,34,2,15,2,0
Attacking Midfield,free transfer,37,8,13,23,1
Right Midfield,free transfer,36,26,31,39,3
Right Midfield,free transfer,33,15,15,31,0
Defensive Midfield,free transfer,37,27,26,14,0
Defensive Midfield,free transfer,36,19,37,3,1
Defensive Midfield,free transfer,37,19,31,17,5
Left-Back,free transfer,38,26,23,33,2
Centre-Back,free transfer,33,29,20,10,0
Right Winger,free transfer,36,1,2,19,0
Left Winger,free transfer,34,12,23,36,0
Attacking Midfield,free transfer,33,2,11,25,0
Attacking Midfield,free transfer,38,7,30,29,1
Centre-Back,free transfer,31,5,20,33,0
Centre-Back,free transfer,35,28,12,25,0
Centre-Forward,free transfer,37,24,23,19,1
Attacking Midfield,free transfer,36,1,1,27,7
Attacking Midfield,free transfer,38,6,30,28,0
Right Midfield,free transfer,37,13,18,8,2
Centre-Forward,free transfer,39,26,31,30,0
Centre-Forward,free transfer,37,6,19,3,3
Left Winger,free transfer,34,16,31,26,0
Attacking Midfield,free transfer,38,26,40,36,3
Defensive Midfield,free transfer,39,20,29,27,1
Left-Back,free transfer,33,4,33,39,2
Centre-Back,free transfer,32,2,23,13,0
Centre-Back,free transfer,33,10,34,26,2
Centre-Back,free transfer,35,2,26,20,0
Centre-Back,free transfer,36,32,29,28,1
Centre-Back,free transfer,31,11,12,12,1
Centre-Back,free transfer,35,32,24,24,2
Goalkeeper,free transfer,34,9,17,7,2
Centre-Forward,free transfer,38,21,22,29,0
Attacking Midfield,free transfer,33,3,29,19,0
Attacking Midfield,free transfer,38,27,38,20,2
Right Midfield,free transfer,35,4,7,30,0
Defensive Midfield,free transfer,34,16,33,7,1
Defensive Midfield,free transfer,38,4,30,31,0
Right-Back,free transfer,32,8,1,17,0
Right-Back,free transfer,37,28,10,34,1
Left-Back,free transfer,38,14,27,27,1
Goalkeeper,free transfer,36,2,13,15,0
Left-Back,free transfer,32,9,12,26,1
Left-Back,free transfer,32,4,14,36,1
Goalkeeper,free transfer,33,2,8,21,0
Goalkeeper,free transfer,35,3,1,6,0
Goalkeeper,free transfer,35,1,13,17,0
Centre-Forward,free transfer,33,11,10,26,0
Left Midfield,free transfer,38,5,17,25,0
midfield,free transfer,35,8,6,21,0
Right-Back,free transfer,33,1,17,21,0
Left-Back,free transfer,33,1,18,30,1
Left-Back,free transfer,39,7,33,31,0
Centre-Back,free transfer,30,13,16,25,0
Centre-Back,free transfer,38,3,13,28,2
