position,retirementAge,gamesPlayedLastYear,gamesPlayedLast2Year,gamesPlayedLast3Year,injurysLast3Year
2,35,8,30,35,0
2,31,19,18,12,0
2,34,21,37,37,1
2,33,9,18,39,1
1,38,4,35,33,1
4,36,34,37,15,1
3,39,7,15,31,1
3,36,7,18,28,0
3,33,8,7,18,0
3,31,31,26,28,0
3,35,13,17,29,0
2,38,27,21,19,0
2,36,1,7,20,1
2,32,6,30,12,0
2,33,11,13,8,1
2,34,3,15,15,1
1,38,4,24,6,0
1,37,12,28,14,1
4,37,1,28,32,1
4,37,23,24,9,1
4,36,4,16,27,1
3,36,24,11,8,0
3,34,5,9,26,0
3,38,25,24,18,1
2,33,19,25,15,0
2,32,16,37,13,1
2,35,23,9,7,1
2,35,21,41,36,0
2,38,1,15,26,0
2,32,8,24,20,1
2,37,11,34,36,1
4,38,1,3,4,0
4,37,23,33,25,1
4,35,0,13,14,0
3,35,7,8,25,0
2,38,11,17,18,0
4,36,12,2,1,0
3,35,25,23,11,0
2,31,4,11,10,0
2,30,25,27,16,0
2,34,9,4,8,1
2,37,13,28,38,0
2,33,2,24,26,0
1,37,0,21,6,1
4,36,1,1,3,0
3,34,5,7,35,0
3,40,33,17,34,0
3,37,31,34,8,0
2,36,1,23,31,1
2,35,2,3,12,1
2,34,4,1,31,0
2,37,1,31,26,0
3,34,32,24,27,0
3,37,5,26,16,0
3,37,7,45,13,0
3,34,14,26,29,1
3,31,16,10,20,0
2,35,5,25,30,0
2,32,19,18,16,0
2,35,16,3,21,0
2,38,1,15,27,0
2,30,15,18,4,0
1,40,11,10,3,0
4,35,13,17,11,1
4,36,26,10,27,0
3,34,6,2,33,0
2,37,16,25,16,1
2,35,7,17,28,0
2,34,1,9,33,1
2,36,21,24,23,0
2,38,25,12,29,0
3,38,8,1,6,0
3,34,23,27,28,0
3,36,8,26,24,0
3,36,21,11,23,1
2,33,1,14,40,1
2,39,18,26,24,0
2,38,6,10,2,1
2,37,24,32,27,1
3,34,21,12,1,1
3,35,3,0,25,0
3,37,25,24,32,0
2,32,11,22,37,1
2,35,37,36,6,0
2,36,0,9,26,0
2,34,8,34,19,0
3,35,13,24,17,1
2,33,12,31,28,0
2,37,22,20,38,0
1,40,8,6,39,1
3,39,7,9,32,1
3,35,34,13,27,1
3,34,11,24,19,1
3,35,23,25,32,1
3,36,8,13,13,1
3,37,5,27,32,1
2,38,18,29,30,0
2,37,13,30,36,0
2,33,12,24,9,1
3,40,18,32,35,0
3,36,14,1,2,0
3,35,27,36,37,1
3,36,19,23,15,0
2,33,16,30,35,1
2,36,6,12,21,0
2,33,5,14,43,1
2,34,0,1,18,0
1,40,4,38,34,0
3,38,14,34,33,0
2,34,38,34,20,0
2,33,10,11,28,0
2,33,1,1,2,0
2,39,32,38,48,1
2,38,31,28,29,0
2,30,20,23,40,0
2,37,25,28,21,0
1,37,28,7,34,0
4,34,13,12,22,1
4,36,15,30,46,0
3,32,6,13,7,1
3,35,8,25,39,0
3,37,13,29,31,0
3,37,1,11,13,0
3,38,1,9,12,0
3,33,10,18,31,0
3,38,25,22,29,0
3,35,5,9,21,0
2,37,15,25,31,0
2,37,16,29,9,1
2,34,6,24,19,0
2,34,2,15,34,1
1,36,11,1,10,0
3,35,14,18,14,1
3,28,1,1,8,0
4,37,12,34,31,1
2,39,2,1,15,1
1,37,6,2,8,0
1,40,4,22,21,0
3,36,1,4,11,0
3,36,9,31,40,0
3,32,3,16,23,0
3,37,4,12,27,0
3,38,1,14,24,0
3,35,18,10,27,0
2,32,2,21,33,0
2,36,3,7,44,0
2,35,2,20,22,0
1,36,0,16,20,0
4,33,20,24,26,1
4,37,15,7,2,0
3,32,4,15,37,1
3,36,19,16,18,0
3,36,14,16,32,1
3,37,19,22,18,0
2,33,3,8,14,0
2,35,13,17,31,0
2,36,8,18,15,1
1,38,5,3,34,1
4,39,23,34,38,0
4,35,17,8,35,1
4,36,11,11,28,1
3,36,3,21,32,0
3,34,2,23,34,0
3,34,36,36,36,0
2,35,14,18,29,1
3,39,34,32,32,1
3,33,24,17,32,1
3,39,13,15,27,0
3,31,7,29,30,1
3,38,22,41,20,1
2,31,9,10,9,1
2,36,14,19,18,0
2,36,22,36,37,0
2,33,10,29,31,0
2,36,0,9,26,0
2,35,18,28,22,1
2,33,12,13,16,1
2,35,10,21,31,1
2,33,23,5,25,0
2,39,33,33,27,0
1,40,2,10,8,1
3,35,1,5,22,1
3,34,3,6,13,0
3,32,15,23,29,0
3,35,22,33,33,0
3,38,35,34,41,0
3,34,0,11,31,0
3,33,4,12,18,1
3,32,26,34,34,0
3,37,23,13,38,1
3,34,8,20,28,0
3,36,25,12,21,1
3,39,22,20,46,0
3,33,25,34,24,0
2,33,14,29,4,1
2,36,33,38,25,0
2,33,2,13,28,1
2,34,1,14,19,1
2,38,10,25,11,0
2,36,3,37,30,0
2,36,10,16,20,1
1,35,2,8,1,0
1,37,3,18,30,0
1,36,0,0,21,1
4,32,17,35,31,1
4,36,13,29,40,1
4,35,2,18,20,1
4,38,22,22,47,1
3,34,15,26,31,1
3,35,3,37,30,1
2,34,4,9,35,1
2,32,10,13,28,0
1,39,42,31,43,1
4,38,18,29,30,1
3,36,8,25,20,0
3,38,13,28,42,1
3,39,18,28,26,1
3,35,4,25,9,1
3,36,26,17,40,1
2,37,20,23,36,0
2,36,16,30,22,1
2,35,33,38,38,0
1,35,8,5,34,1
4,35,25,23,27,0
2,33,5,15,28,1
2,35,5,7,14,0
2,35,26,28,30,0
1,40,11,2,24,1
1,35,0,8,6,1
3,33,23,28,27,0
3,34,7,13,10,0
3,39,22,30,32,1
2,34,10,13,29,1
3,34,12,33,23,0
2,35,8,5,31,1
2,35,10,18,12,0
2,33,10,21,19,1
2,34,19,26,33,0
4,34,2,15,2,0
3,37,8,13,23,1
3,36,26,31,39,1
3,33,15,15,31,0
3,37,27,26,14,0
3,36,19,37,3,1
3,37,19,31,17,1
2,38,26,23,33,1
2,33,29,20,10,0
3,36,1,2,19,0
3,34,12,23,36,0
3,33,2,11,25,0
3,38,7,30,29,1
2,31,5,20,33,0
2,35,28,12,25,0
4,37,24,23,19,1
3,36,1,1,27,1
3,38,6,30,28,0
3,37,13,18,8,1
4,39,26,31,30,0
4,37,6,19,3,1
3,34,16,31,26,0
3,38,26,40,36,1
3,39,20,29,27,1
2,33,4,33,39,1
2,32,2,23,13,0
2,33,10,34,26,1
2,35,2,26,20,0
2,36,32,29,28,1
2,31,11,12,12,1
2,35,32,24,24,1
1,34,9,17,7,1
4,38,21,22,29,0
3,33,3,29,19,0
3,38,27,38,20,1
3,35,4,7,30,0
3,34,16,33,7,1
3,38,4,30,31,0
2,32,8,1,17,0
2,37,28,10,34,1
2,38,14,27,27,1
1,36,2,13,15,0
2,32,9,12,26,1
2,32,4,14,36,1
1,33,2,8,21,0
1,35,3,1,6,0
1,35,1,13,17,0
4,33,11,10,26,0
3,38,5,17,25,0
3,35,8,6,21,0
2,33,1,17,21,0
2,33,1,18,30,1
2,39,7,33,31,0
2,30,13,16,25,0
2,38,3,13,28,1
