position,retirementAge,gamesPlayedLastYear,gamesPlayedLast2Year,gamesPlayedLast3Year,injurysLast3Year
Centre-Back,37,13,30,36,0
Centre-Back,33,12,24,9,1
Attacking Midfield,40,18,32,35,0
Central Midfield,36,14,1,2,0
Defensive Midfield,35,27,36,37,1
midfield,36,19,23,15,0
Left-Back,33,16,30,35,6
Centre-Back,36,6,12,21,0
Centre-Back,33,5,14,43,7
Centre-Back,34,0,1,18,0
Goalkeeper,40,4,38,34,0
Central Midfield,38,14,34,33,0
Right-Back,34,38,34,20,0
Right-Back,33,10,11,28,0
Right-Back,33,1,1,2,0
Right-Back,39,32,38,48,2
Left-Back,38,31,28,29,0
Centre-Back,30,20,23,40,0
Centre-Back,37,25,28,21,0
Goalkeeper,37,28,7,34,0
Centre-Forward,34,13,12,22,2
Centre-Forward,36,15,30,46,0
Attacking Midfield,32,6,13,7,2
Right Midfield,35,8,25,39,0
Left Winger,37,13,29,31,0
Left Winger,37,1,11,13,0
Central Midfield,38,1,9,12,0
Central Midfield,33,10,18,31,0
Central Midfield,38,25,22,29,0
Defensive Midfield,35,5,9,21,0
Right-Back,37,15,25,31,0
Left-Back,37,16,29,9,1
Centre-Back,34,6,24,19,0
Centre-Back,34,2,15,34,1
Goalkeeper,36,11,1,10,0
Right Winger,35,14,18,14,2
Attacking Midfield,28,1,1,8,0
Second Striker,37,12,34,31,1
Centre-Back,39,2,1,15,1
Goalkeeper,37,6,2,8,0
Goalkeeper,40,4,22,21,0
Right Winger,36,1,4,11,0
Right Winger,36,9,31,40,0
Right Winger,32,3,16,23,0
Right Winger,37,4,12,27,0
Defensive Midfield,38,1,14,24,0
Defensive Midfield,35,18,10,27,0
Right-Back,32,2,21,33,0
Right-Back,36,3,7,44,0
Left-Back,35,2,20,22,0
Goalkeeper,36,0,16,20,0
Centre-Forward,33,20,24,26,1
Centre-Forward,37,15,7,2,0
Central Midfield,32,4,15,37,1
Central Midfield,36,19,16,18,0
Defensive Midfield,36,14,16,32,1
Defensive Midfield,37,19,22,18,0
Right-Back,33,3,8,14,0
Centre-Back,35,13,17,31,0
Centre-Back,36,8,18,15,4
Goalkeeper,38,5,3,34,2
Centre-Forward,39,23,34,38,0
Centre-Forward,35,17,8,35,1
Centre-Forward,36,11,11,28,4
Attacking Midfield,36,3,21,32,0
Right Midfield,34,2,23,34,0
Defensive Midfield,34,36,36,36,0
Right-Back,35,14,18,29,1
Attacking Midfield,39,34,32,32,1
Right Midfield,33,24,17,32,1
Central Midfield,39,13,15,27,0
Central Midfield,31,7,29,30,1
Defensive Midfield,38,22,41,20,1
Left-Back,31,9,10,9,4
Left-Back,36,14,19,18,0
Centre-Back,36,22,36,37,0
Centre-Back,33,10,29,31,0
Centre-Back,36,0,9,26,0
Left-Back,35,18,28,22,1
Centre-Back,33,12,13,16,2
Centre-Back,35,10,21,31,2
Centre-Back,33,23,5,25,0
Centre-Back,39,33,33,27,0
Goalkeeper,40,2,10,8,1
Attacking Midfield,35,1,5,22,3
Right Midfield,34,3,6,13,0
Central Midfield,32,15,23,29,0
Central Midfield,35,22,33,33,0
Central Midfield,38,35,34,41,0
Defensive Midfield,34,0,11,31,0
Defensive Midfield,33,4,12,18,1
Right Winger,32,26,34,34,0
Attacking Midfield,37,23,13,38,5
Left Midfield,34,8,20,28,0
Defensive Midfield,36,25,12,21,3
Defensive Midfield,39,22,20,46,0
Defensive Midfield,33,25,34,24,0
Right-Back,33,14,29,4,2
Left-Back,36,33,38,25,0
Centre-Back,33,2,13,28,3
Centre-Back,34,1,14,19,1
Centre-Back,38,10,25,11,0
Centre-Back,36,3,37,30,0
Centre-Back,36,10,16,20,2
Goalkeeper,35,2,8,1,0
Goalkeeper,37,3,18,30,0
Goalkeeper,36,0,0,21,1
Centre-Forward,32,17,35,31,3
Second Striker,36,13,29,40,2
Centre-Forward,35,2,18,20,1
Second Striker,38,22,22,47,1
Attacking Midfield,34,15,26,31,3
Central Midfield,35,3,37,30,1
Right-Back,34,4,9,35,3
Right-Back,32,10,13,28,0
Goalkeeper,39,42,31,43,1
Centre-Forward,38,18,29,30,4
Attacking Midfield,36,8,25,20,0
Attacking Midfield,38,13,28,42,3
Central Midfield,39,18,28,26,1
Defensive Midfield,35,4,25,9,1
Defensive Midfield,36,26,17,40,1
Left-Back,37,20,23,36,0
Left-Back,36,16,30,22,1
Left-Back,35,33,38,38,0
Goalkeeper,35,8,5,34,3
Centre-Forward,35,25,23,27,0
Centre-Back,33,5,15,28,3
Centre-Back,35,5,7,14,0
Centre-Back,35,26,28,30,0
Goalkeeper,40,11,2,24,1
Goalkeeper,35,0,8,6,1
Defensive Midfield,33,23,28,27,0
Defensive Midfield,34,7,13,10,0
Defensive Midfield,39,22,30,32,3
Centre-Back,34,10,13,29,3
Defensive Midfield,34,12,33,23,0
Right-Back,35,8,5,31,3
Left-Back,35,10,18,12,0
Centre-Back,33,10,21,19,2
Centre-Back,34,19,26,33,0
Centre-Forward,34,2,15,2,0
Attacking Midfield,37,8,13,23,1
Right Midfield,36,26,31,39,3
Right Midfield,33,15,15,31,0
Defensive Midfield,37,27,26,14,0
Defensive Midfield,36,19,37,3,1
Defensive Midfield,37,19,31,17,5
Left-Back,38,26,23,33,2
Centre-Back,33,29,20,10,0
Right Winger,36,1,2,19,0
Left Winger,34,12,23,36,0
Attacking Midfield,33,2,11,25,0
Attacking Midfield,38,7,30,29,1
Centre-Back,31,5,20,33,0
Centre-Back,35,28,12,25,0
Centre-Forward,37,24,23,19,1
Attacking Midfield,36,1,1,27,7
Attacking Midfield,38,6,30,28,0
Right Midfield,37,13,18,8,2
Centre-Forward,39,26,31,30,0
Centre-Forward,37,6,19,3,3
Left Winger,34,16,31,26,0
Attacking Midfield,38,26,40,36,3
Defensive Midfield,39,20,29,27,1
Left-Back,33,4,33,39,2
Centre-Back,32,2,23,13,0
Centre-Back,33,10,34,26,2
Centre-Back,35,2,26,20,0
Centre-Back,36,32,29,28,1
Centre-Back,31,11,12,12,1
Centre-Back,35,32,24,24,2
Goalkeeper,34,9,17,7,2
Centre-Forward,38,21,22,29,0
Attacking Midfield,33,3,29,19,0
Attacking Midfield,38,27,38,20,2
Right Midfield,35,4,7,30,0
Defensive Midfield,34,16,33,7,1
Defensive Midfield,38,4,30,31,0
Right-Back,32,8,1,17,0
Right-Back,37,28,10,34,1
Left-Back,38,14,27,27,1
Goalkeeper,36,2,13,15,0
Left-Back,32,9,12,26,1
Left-Back,32,4,14,36,1
Goalkeeper,33,2,8,21,0
Goalkeeper,35,3,1,6,0
Goalkeeper,35,1,13,17,0
Centre-Forward,33,11,10,26,0
Left Midfield,38,5,17,25,0
midfield,35,8,6,21,0
Right-Back,33,1,17,21,0
Left-Back,33,1,18,30,1
Left-Back,39,7,33,31,0
Centre-Back,30,13,16,25,0
Centre-Back,38,3,13,28,2
