playerprofile,position,retiredOrNot,lastTransferFee,retirementAge,yearsPlayedOnLastTeam,gamesPlayedLastYear,gamesPlayedLast2Year,gamesPlayedLast3Year,injurysLast3Year
Jürgen Macho,Goalkeeper,Retired,free transfer,37,1,12,28,14,4
Tobias Damm,Centre-Forward,Retired,free transfer,37,2,1,28,32,2
Ranisav Jovanovic,Centre-Forward,Retired,free transfer,37,1,23,24,9,4
Conor Casey,Centre-Forward,Retired,free transfer,36,1,4,16,27,3
Dennis Weiland,Left Midfield,Retired,free transfer,36,1,24,11,8,0
Fabian Gerber,Right Midfield,Retired,free transfer,34,4,5,9,26,0
Milorad Pekovic,Defensive Midfield,Retired,free transfer,38,1,25,24,18,6
Henning Lichte,Right-Back,Retired,free transfer,33,7,19,25,15,0
Christian Demirtas,Right-Back,Retired,free transfer,32,2,16,37,13,1
Marco Rose,Left-Back,Retired,free transfer,35,1,23,9,7,3
Benjamin Weigelt,Left-Back,Retired,free transfer,35,5,21,41,36,0
Tamás Bódog,Centre-Back,Retired,free transfer,38,1,1,15,26,0
Mathias Abel,Centre-Back,Retired,free transfer,32,5,8,24,20,2
Nikolce Noveski,Centre-Back,Retired,free transfer,37,1,11,34,36,3
Fernando Benitez,Centre-Forward,Retired,free transfer,38,4,1,3,4,0
Emanuel Perrone,Centre-Forward,Retired,free transfer,37,2,23,33,25,3
Milton Coimbra,Centre-Forward,Retired,free transfer,35,1,0,13,14,0
Georgios Vourexakis,Defensive Midfield,Retired,free transfer,35,1,7,8,25,0
Juan Pajuelo,Centre-Back,Retired,free transfer,38,2,11,17,18,0
Giannis Lazanas,Centre-Forward,Retired,free transfer,36,1,12,2,1,0
Hristo Telkiyski,Attacking Midfield,Retired,free transfer,35,2,25,23,11,0
Xenofon Belegrinis,Right-Back,Retired,free transfer,31,1,4,11,10,0
Vangelis Tsiolis,Left-Back,Retired,free transfer,30,1,25,27,16,0
Aleksandar Mijatovic,Centre-Back,Retired,free transfer,34,3,9,4,8,1
Leonidas Vokolos,Centre-Back,Retired,free transfer,37,1,13,28,38,0
Georgios Koulakiotis,Centre-Back,Retired,free transfer,33,2,2,24,26,0
Panagiotis Bartzokas,Goalkeeper,Retired,free transfer,37,1,0,21,6,2
Rastislav Lazorik,Centre-Forward,Retired,free transfer,36,1,1,1,3,0
Mirnes Sisic,Right Winger,Retired,free transfer,34,1,5,7,35,0
Ivan Rusev,Attacking Midfield,Retired,free transfer,40,3,33,17,34,0
Miguel Mea Vitali,Defensive Midfield,Retired,free transfer,37,4,31,34,8,0
Konstantinos Kallimanis,Right-Back,Retired,free transfer,36,1,1,23,31,2
Panagiotis Macheras,Left-Back,Retired,free transfer,35,1,2,3,12,1
Carlos Massara,Left-Back,Retired,free transfer,34,1,4,1,31,0
Theopistos Papadopoulos,Centre-Back,Retired,free transfer,37,2,1,31,26,0
Lucian Marinescu,Attacking Midfield,Retired,free transfer,34,1,32,24,27,0
Nikola Vujovic,Left Midfield,Retired,free transfer,37,1,5,26,16,0
Manolis Skoufalis,Right Midfield,Retired,free transfer,37,1,7,45,13,0
Laurent Macquet,Central Midfield,Retired,free transfer,34,2,14,26,29,2
Sven Vandenbroeck,Defensive Midfield,Retired,free transfer,31,1,16,10,20,0
Paolo Vanoli,Left-Back,Retired,free transfer,35,1,5,25,30,0
Berny Peña,Centre-Back,Retired,free transfer,32,1,19,18,16,0
Konstantinos Bantas,Centre-Back,Retired,free transfer,35,1,16,3,21,0
Giannis Sfakianakis,Centre-Back,Retired,free transfer,38,1,1,15,27,0
Panagiotis Giannopoulos,Defender,Retired,free transfer,30,1,15,18,4,0
Sotiris Lyberopoulos,Goalkeeper,Retired,free transfer,40,2,11,10,3,0
Aílton,Centre-Forward,Retired,free transfer,35,1,13,17,11,2
Karim Mouzaoui,Centre-Forward,Retired,free transfer,36,3,26,10,27,0
Christos Christoforidis,Left Winger,Retired,free transfer,34,5,6,2,33,0
Stefano Argilli,Right-Back,Retired,free transfer,37,1,16,25,16,1
Matteo Melara,Right-Back,Retired,free transfer,35,2,7,17,28,0
Marc Pfertzel,Right-Back,Retired,free transfer,34,1,1,9,33,1
César Prates,Right-Back,Retired,free transfer,36,1,21,24,23,0
Andrea Giallombardo,Left-Back,Retired,free transfer,38,3,25,12,29,0
Marco Marchionni,Right Midfield,Retired,free transfer,38,1,8,1,6,0
Filippo Savi,Central Midfield,Retired,free transfer,34,3,23,27,28,0
Jorge Bolaño,Central Midfield,Retired,free transfer,36,3,8,26,24,0
Mark Bresciano,Central Midfield,Retired,free transfer,36,1,21,11,23,2
Alessandro Bernardini,Centre-Back,Retired,free transfer,33,1,1,14,40,1
Fernando Couto,Centre-Back,Retired,free transfer,39,3,18,26,24,0
Mirko Stefani,Centre-Back,Retired,free transfer,38,7,6,10,2,2
Sebastiano Siviglia,Centre-Back,Retired,free transfer,37,6,24,32,27,1
Fabio Firmani,Central Midfield,Retired,free transfer,34,1,21,12,1,1
Dino Baggio,Defensive Midfield,Retired,free transfer,35,1,3,0,25,0
Christian Keller,Defensive Midfield,Retired,free transfer,37,1,25,24,32,0
Guilherme Siqueira,Left-Back,Retired,free transfer,32,1,11,22,37,5
Felice Piccolo,Centre-Back,Retired,free transfer,35,2,37,36,6,0
Matías Lequi,Centre-Back,Retired,free transfer,36,1,0,9,26,0
Cribari,Centre-Back,Retired,free transfer,34,2,8,34,19,0
Michele Pazienza,Defensive Midfield,Retired,free transfer,35,1,13,24,17,4
Juarez,Right-Back,Retired,free transfer,33,1,12,31,28,0
Damiano Zenoni,Right-Back,Retired,free transfer,37,3,22,20,38,0
Morgan De Sanctis,Goalkeeper,Retired,free transfer,40,1,8,6,39,2
Édgar Álvarez,Right Midfield,Retired,free transfer,39,6,7,9,32,3
Leandro Greco,Central Midfield,Retired,free transfer,35,1,34,13,27,1
Houssine Kharja,Central Midfield,Retired,free transfer,34,1,11,24,19,1
Alberto Aquilani,Central Midfield,Retired,free transfer,35,1,23,25,32,2
Olivier Dacourt,Defensive Midfield,Retired,free transfer,36,1,8,13,13,2
Daniele De Rossi,Defensive Midfield,Retired,free transfer,37,1,5,27,32,10
Giuseppe Favalli,Left-Back,Retired,free transfer,38,4,18,29,30,0
Siniša Mihajlović,Centre-Back,Retired,free transfer,37,2,13,30,36,0
Marco Andreolli,Centre-Back,Retired,free transfer,33,0,12,24,9,1
Stefaan Tanghe,Attacking Midfield,Retired,free transfer,40,2,18,32,35,0
Bernard Hofstede,Central Midfield,Retired,free transfer,36,2,14,1,2,0
Kwame Quansah,Defensive Midfield,Retired,free transfer,35,1,27,36,37,1
Remon de Vries,midfield,Retired,free transfer,36,1,19,23,15,0
Mark Looms,Left-Back,Retired,free transfer,33,2,16,30,35,6
Marnix Smit,Centre-Back,Retired,free transfer,36,3,6,12,21,0
Jan Wuytens,Centre-Back,Retired,free transfer,33,1,5,14,43,7
Rudy Jansen,Centre-Back,Retired,free transfer,34,2,0,1,18,0
Martin Pieckenhagen,Goalkeeper,Retired,free transfer,40,1,4,38,34,0
Tim Smolders,Central Midfield,Retired,free transfer,38,3,14,34,33,0
Sidney Lammens,Right-Back,Retired,free transfer,34,1,38,34,20,0
Björn Daelemans,Right-Back,Retired,free transfer,33,1,10,11,28,0
Nuelson Wau,Right-Back,Retired,free transfer,33,1,1,1,2,0
Davy De fauw,Right-Back,Retired,free transfer,39,4,32,38,48,2
Nebojsa Gudelj,Left-Back,Retired,free transfer,38,1,31,28,29,0
Wouter Gudde,Centre-Back,Retired,free transfer,30,1,20,23,40,0
Danny Schenkel,Centre-Back,Retired,free transfer,37,1,25,28,21,0
René Ponk,Goalkeeper,Retired,free transfer,37,1,28,7,34,0
Glen Salmon,Centre-Forward,Retired,free transfer,34,4,13,12,22,2
Erik Nevland,Centre-Forward,Retired,free transfer,36,3,15,30,46,0
Koen van de Laak,Attacking Midfield,Retired,free transfer,32,2,6,13,7,2
Yuri Cornelisse,Right Midfield,Retired,free transfer,35,3,8,25,39,0
Evandro,Left Winger,Retired,free transfer,37,1,13,29,31,0
Agostinho,Left Winger,Retired,free transfer,37,1,1,11,13,0
Mozer,Central Midfield,Retired,free transfer,38,1,1,9,12,0
Darko Anic,Central Midfield,Retired,free transfer,33,1,10,18,31,0
Niquinha,Central Midfield,Retired,free transfer,38,12,25,22,29,0
Delson,Defensive Midfield,Retired,free transfer,35,1,5,9,21,0
Zé Gomes,Right-Back,Retired,free transfer,37,1,15,25,31,0
Milhazes,Left-Back,Retired,free transfer,37,1,16,29,9,1
Bruno Mendes,Centre-Back,Retired,free transfer,34,9,6,24,19,0
André Vilas Boas,Centre-Back,Retired,free transfer,34,6,2,15,34,1
Miguel Mora,Goalkeeper,Retired,free transfer,36,7,11,1,10,0
Modou Sougou,Right Winger,Retired,free transfer,35,2,14,18,14,2
Costinha,Attacking Midfield,Retired,free transfer,28,0,1,1,8,0
João Pinto,Second Striker,Retired,free transfer,37,2,12,34,31,1
Cadú,Centre-Back,Retired,free transfer,39,2,2,1,15,1
Khadim Fayé,Goalkeeper,Retired,free transfer,37,7,6,2,8,0
William,Goalkeeper,Retired,free transfer,40,1,4,22,21,0
Harison,Right Winger,Retired,free transfer,36,3,1,4,11,0
Paulo César,Right Winger,Retired,free transfer,36,1,9,31,40,0
Alioune Touré,Right Winger,Retired,free transfer,32,1,3,16,23,0
Maciel,Right Winger,Retired,free transfer,37,1,4,12,27,0
Vitor Pereira,Defensive Midfield,Retired,free transfer,38,1,1,14,24,0
Paulo Gomes,Defensive Midfield,Retired,free transfer,35,1,18,10,27,0
Éder Bonfim,Right-Back,Retired,free transfer,32,2,2,21,33,0
Laranjeiro,Right-Back,Retired,free transfer,36,4,3,7,44,0
Damian Tixier,Left-Back,Retired,free transfer,35,1,2,20,22,0
Costinha,Goalkeeper,Retired,free transfer,36,3,0,16,20,0
Romeu,Centre-Forward,Retired,free transfer,33,2,20,24,26,1
Albert Meyong,Centre-Forward,Retired,free transfer,37,1,15,7,2,0
Rúben Amorim,Central Midfield,Retired,End of loan,32,1,4,15,37,1
José Pedro,Central Midfield,Retired,free transfer,36,1,19,16,18,0
Ivan Djurdjevic,Defensive Midfield,Retired,free transfer,36,6,14,16,32,1
Sandro Gaúcho,Defensive Midfield,Retired,free transfer,37,2,19,22,18,0
Sousa,Right-Back,Retired,free transfer,33,1,3,8,14,0
Mauricio Pellegrino,Centre-Back,Retired,free transfer,35,1,13,17,31,0
Gaspar Gálvez,Centre-Back,Retired,free transfer,36,1,8,18,15,4
Franco Costanzo,Goalkeeper,Retired,free transfer,38,5,5,3,34,2
Sergio Pachón,Centre-Forward,Retired,free transfer,39,5,23,34,38,0
Veljko Paunovic,Centre-Forward,Retired,free transfer,35,1,17,8,35,1
Riki,Centre-Forward,Retired,free transfer,36,1,11,11,28,4
Pablo Redondo,Attacking Midfield,Retired,free transfer,36,1,3,21,32,0
Mario Cotelo,Right Midfield,Retired,free transfer,34,6,2,23,34,0
David Cubillo,Defensive Midfield,Retired,free transfer,34,3,36,36,36,0
Cosmin Contra,Right-Back,Retired,free transfer,35,2,14,18,29,1
Cristiano Doni,Attacking Midfield,Retired,free transfer,39,6,34,32,32,1
Alejandro Campano,Right Midfield,Retired,free transfer,33,1,24,17,32,1
Jonás Gutiérrez,Central Midfield,Retired,free transfer,39,1,13,15,27,0
Guillermo Pereyra,Central Midfield,Retired,free transfer,31,1,7,29,30,1
Borja Fernández,Defensive Midfield,Retired,free transfer,38,2,22,41,20,1
José Enrique,Left-Back,Retired,free transfer,31,1,9,10,9,4
Diego Placente,Left-Back,Retired,free transfer,36,1,14,19,18,0
Yago Yao,Centre-Back,Retired,free transfer,36,1,22,36,37,0
Sebastián Méndez,Centre-Back,Retired,free transfer,33,1,10,29,31,0
Matías Lequi,Centre-Back,Retired,free transfer,36,1,0,9,26,0
Javier Garrido,Left-Back,Retired,free transfer,35,2,18,28,22,1
Mikel Labaka,Centre-Back,Retired,free transfer,33,2,12,13,16,2
Ion Ansotegi,Centre-Back,Retired,free transfer,35,1,10,21,31,2
Igor Jauregi,Centre-Back,Retired,End of loan,33,5,23,5,25,0
Jérémie Bréchet,Centre-Back,Retired,free transfer,39,4,33,33,27,0
Alberto López,Goalkeeper,Retired,free transfer,40,3,2,10,8,1
Iván de la Peña,Attacking Midfield,Retired,free transfer,35,8,1,5,22,3
Toni Velamazán,Right Midfield,Retired,free transfer,34,4,3,6,13,0
Miki Martínez,Central Midfield,Retired,free transfer,32,1,15,23,29,0
Ito,Central Midfield,Retired,free transfer,35,1,22,33,33,0
Luis García,Central Midfield,Retired,free transfer,38,5,35,34,41,0
Àngel Morales,Defensive Midfield,Retired,free transfer,34,2,0,11,31,0
Moisés Hurtado,Defensive Midfield,Retired,free transfer,33,1,4,12,18,1
Xisco Nadal,Right Winger,Retired,free transfer,32,2,26,34,34,0
Juan Román Riquelme,Attacking Midfield,Retired,free transfer,37,1,23,13,38,5
Javier Calleja,Left Midfield,Retired,free transfer,34,3,8,20,28,0
Josico,Defensive Midfield,Retired,free transfer,36,2,25,12,21,3
Marcos Senna,Defensive Midfield,Retired,free transfer,39,2,22,20,46,0
Alessio Tacchinardi,Defensive Midfield,Retired,free transfer,33,1,25,34,24,0
Jan Kromkamp,Right-Back,Retired,free transfer,33,2,14,29,4,2
Rodolfo Arruabarrena,Left-Back,Retired,free transfer,36,1,33,38,25,0
César Arzo,Centre-Back,Retired,free transfer,33,1,2,13,28,3
Quique Álvarez,Centre-Back,Retired,free transfer,34,2,1,14,19,1
Juan Manuel Peña,Centre-Back,Retired,free transfer,38,1,10,25,11,0
Josemi,Centre-Back,Retired,free transfer,36,1,3,37,30,0
Gonzalo Rodríguez,Centre-Back,Retired,free transfer,36,3,10,16,20,2
Juan Carlos,Goalkeeper,Retired,free transfer,35,1,2,8,1,0
Javier López Vallejo,Goalkeeper,Retired,free transfer,37,1,3,18,30,0
Mariano Barbosa,Goalkeeper,Retired,free transfer,36,5,0,0,21,1
Dani,Centre-Forward,Retired,free transfer,32,1,17,35,31,3
Xisco Muñoz,Second Striker,Retired,free transfer,36,1,13,29,40,2
Ronaldo,Centre-Forward,Retired,free transfer,35,2,2,18,20,1
Raúl,Second Striker,Retired,free transfer,38,1,22,22,47,1
José Manuel Jurado,Attacking Midfield,Retired,free transfer,34,1,15,26,31,3
Guti,Central Midfield,Retired,free transfer,35,1,3,37,30,1
Álvaro Arbeloa,Right-Back,Retired,free transfer,34,1,4,9,35,3
Carlos Diogo,Right-Back,Retired,free transfer,32,1,10,13,28,0
Iker Casillas,Goalkeeper,Retired,free transfer,39,5,42,31,43,1
Samuel Eto'o,Centre-Forward,Retired,free transfer,38,1,18,29,30,4
Deco,Attacking Midfield,Retired,free transfer,36,3,8,25,20,0
Ronaldinho Gaúcho,Attacking Midfield,Retired,free transfer,38,3,13,28,42,3
Xavi,Central Midfield,Retired,free transfer,39,4,18,28,26,1
Gabri,Defensive Midfield,Retired,free transfer,35,2,4,25,9,1
Edmílson,Defensive Midfield,Retired,free transfer,36,1,26,17,40,1
Carlos Peña,Left-Back,Retired,free transfer,37,2,20,23,36,0
Sylvinho,Left-Back,Retired,free transfer,36,1,16,30,22,1
Giovanni van Bronckhorst,Left-Back,Retired,free transfer,35,3,33,38,38,0
Víctor Valdés,Goalkeeper,Retired,free transfer,35,1,8,5,34,3
Okan Öztürk,Centre-Forward,Retired,free transfer,35,1,25,23,27,0
Murat Sözgelmez,Centre-Back,Retired,free transfer,33,1,5,15,28,3
Hakki Hocaoglu,Centre-Back,Retired,free transfer,35,1,5,7,14,0
Raymond Kalla,Centre-Back,Retired,free transfer,35,4,26,28,30,0
Vedat Kapurtu,Goalkeeper,Retired,free transfer,40,1,11,2,24,1
Akin Vardar,Goalkeeper,Retired,free transfer,35,1,0,8,6,1
Bora Riza Kalyon,Defensive Midfield,Retired,free transfer,33,3,23,28,27,0
Kamber Arslan,Defensive Midfield,Retired,free transfer,34,1,7,13,10,0
Ragip Basdag,Defensive Midfield,Retired,free transfer,39,1,22,30,32,3
Aydin Toscali,Centre-Back,Retired,free transfer,34,1,10,13,29,3
Cem Sinan Vergül,Defensive Midfield,Retired,free transfer,34,1,12,33,23,0
Abdurrahman Dereli,Right-Back,Retired,free transfer,35,1,8,5,31,3
Ivaylo Petkov,Left-Back,Retired,free transfer,35,2,10,18,12,0
Emre Güngör,Centre-Back,Retired,free transfer,33,1,10,21,19,2
Gökmen Baris,Centre-Back,Retired,free transfer,34,2,19,26,33,0
Hüseyin Kartal,Centre-Forward,Retired,free transfer,34,1,2,15,2,0
Yusuf Simsek,Attacking Midfield,Retired,free transfer,37,1,8,13,23,1
Güven Varol,Right Midfield,Retired,free transfer,36,4,26,31,39,3
Miikka Multaharju,Right Midfield,Retired,free transfer,33,1,15,15,31,0
Fatih Egedik,Defensive Midfield,Retired,free transfer,37,1,27,26,14,0
Serhat Gülpinar,Defensive Midfield,Retired,free transfer,36,2,19,37,3,1
Bülent Ertugrul,Defensive Midfield,Retired,free transfer,37,2,19,31,17,5
Mustafa Keceli,Left-Back,Retired,free transfer,38,2,26,23,33,2
Ibrahim Celik,Centre-Back,Retired,free transfer,33,2,29,20,10,0
Volodymyr Arzhanov,Right Winger,Retired,free transfer,36,2,1,2,19,0
Sergiy Shyshchenko,Left Winger,Retired,free transfer,34,2,12,23,36,0
Valeriy Kryventsov,Attacking Midfield,Retired,free transfer,33,2,2,11,25,0
